id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_accident_overview_and_factors
571,M04,M04U01,事故とはどのような出来事を指すか？,意図せずに起こる不慮の外傷や損傷,犯罪や暴力によるけが,自然災害による被害,病気による体調不良,1,事故とは日常生活の中で意図せずに起こる外傷や損傷のことをいう。,"定義,不慮の事故,外傷",1,,,,,
572,M04,M04U01,交通事故や転倒などをまとめて呼ぶ用語はどれか？,不慮の事故,人的災害,自然災害,感染症,1,交通事故や転倒などの意図しないけがは不慮の事故に分類される。,"分類,交通事故,転倒",1,,,,,
573,M04,M04U01,事故の発生に関する要因のうち「人的要因」に含まれるのはどれか？,注意不足や焦り,雨や雪などの気象条件,道路や施設の構造,交通量の多さ,1,人的要因は人の不注意や判断の誤りなどに関する要素を指す。,"要因,人的要因,注意",1,,,,,
574,M04,M04U01,事故の発生要因の「環境的要因」に含まれるものはどれか？,道路や建物の構造,居眠り運転,判断ミス,疲労,1,環境的要因は道路・天候・照明などの周囲の条件を指す。,"環境要因,道路環境,天候",1,,,,,
575,M04,M04U01,事故の発生要因の「行動的要因」に該当するものはどれか？,スピードの出しすぎ,道路の凍結,視界の悪さ,段差の多い床,1,行動的要因は危険な行動や無理な動作などが関係する。,"行動要因,リスク行動,安全意識",2,,,,,
576,M04,M04U01,高齢者に多い事故の特徴として最も適切なのはどれか？,家庭内での転倒・転落が多い,通勤中の交通事故が多い,夜間の外出時に多い,火災によるものが多い,1,高齢者では家庭内での転倒・転落が主な事故原因である。,"高齢者,転倒,特徴",1,,,,,
577,M04,M04U01,乳幼児の事故で多い発生場所はどこか？,家庭内,学校,道路,職場,1,乳幼児の事故は家庭内での誤飲や転倒などが多い。,"乳幼児,家庭内,誤飲",1,,,,,
578,M04,M04U01,思春期の事故に多い傾向として正しいものはどれか？,交通事故やスポーツ事故が多い,家庭内での転倒が多い,溺水が多い,火災が多い,1,思春期では外出機会が増えるため交通・運動中の事故が多い。,"思春期,交通事故,スポーツ",2,,,,,
579,M04,M04U01,ハインリッヒの法則で示される「1：29：300」は何を意味するか？,1件の重大事故の背後に多くの軽微な事故とヒヤリハットがある,重大事故は偶然に発生する,事故は必ず1件につき29人が関係する,重大事故と軽微な事故は無関係である,1,ハインリッヒの法則は重大事故の背後に軽微な事故やヒヤリハットが多数存在することを示す。,"ハインリッヒの法則,危険予知,予防",2,,,,,
580,M04,M04U01,事故の分析に用いられる「ハドン・マトリクス」の視点に含まれないものはどれか？,経済的要因,人的要因,環境的要因,車両・物的要因,1,ハドン・マトリクスは人的・物的・環境的要因の3視点で分析する。,"ハドンマトリクス,分析,予防",2,,,,,
581,M04,M04U01,事故の発生に関係する人的要因の例として正しいのはどれか？,疲労や不注意,雨による視界不良,道路の凍結,信号機の故障,1,人的要因は本人の体調や注意力など人に関するものを指す。,"人的要因,疲労,注意",1,,,,,
582,M04,M04U01,事故の発生に関係する環境的要因の例として適切なのはどれか？,照明が暗い場所,眠気,焦り,判断の誤り,1,環境的要因は事故が起こりやすい周囲の条件を指す。,"環境要因,照明,危険環境",1,,,,,
583,M04,M04U01,事故の発生に関する行動的要因とは何を指すか？,危険な行動や安全意識の欠如,気温や湿度の変化,他人の影響,災害発生時の状況,1,行動的要因は安全に関する意識や行動の仕方に関係する。,"行動要因,安全意識,行動",1,,,,,
584,M04,M04U01,交通事故による死亡者数の近年の傾向として正しいのはどれか？,減少傾向にある,増加傾向にある,ほぼ横ばいである,大きく変化していない,1,交通安全対策の強化により交通事故死者数は減少している。,"統計,交通事故,傾向",2,,,,,
585,M04,M04U01,高齢者の交通事故の特徴として正しいものはどれか？,歩行中や自転車乗用中の事故が多い,自動車運転中の事故が多い,夜間の屋内事故が多い,若者との衝突事故が多い,1,高齢者は歩行中や自転車乗用中の交通事故が多い。,"高齢者,交通事故,歩行",2,,,,,
586,M04,M04U01,高校生の事故の多くを占めるのはどれか？,体育や部活動中のけが,通学中の交通事故,家庭内の転倒,火災,1,高校生では運動や活動中の事故が多い傾向にある。,"高校生,スポーツ,けが",2,,,,,
587,M04,M04U01,事故防止のための「3Eアプローチ」に含まれないものはどれか？,Economy（経済）,Education（教育）,Engineering（環境・設備）,Enforcement（法的整備）,1,3Eは教育・環境整備・法的整備の3つの柱から成る。,"予防,3E,安全教育",3,,,,,
588,M04,M04U01,事故予防のための「Education（教育）」の具体例はどれか？,安全講習会の実施,ガードレールの設置,交通規制の強化,道路舗装の改善,1,Educationは知識や意識を高める教育的な対策である。,"予防,教育,安全指導",3,,,,,
589,M04,M04U01,事故予防の「Engineering（環境）」の例として正しいものはどれか？,道路の照明を明るくする,安全講習を開く,交通法を改正する,運転者教育を行う,1,環境整備は設備や構造の改善によって事故を防ぐ方法である。,"予防,環境整備,設備",3,,,,,
590,M04,M04U01,事故予防の「Enforcement（法的整備）」の例はどれか？,シートベルト着用義務化,運動会で安全教育を行う,公園の遊具を改修する,地域で見守り活動をする,1,Enforcementは法律や規則の整備による予防である。,"法的整備,義務化,安全",3,,,,,
591,M04,M04U01,ハドン・マトリクスでは「事故前」に注目する目的はどれか？,事故を未然に防ぐため,救命処置を迅速に行うため,被害を最小限にするため,事故後の対応を強化するため,1,事故前の対策で発生そのものを防ぐことが重視される。,"ハドンマトリクス,事故前,予防",2,,,,,
592,M04,M04U01,ハドン・マトリクスの「事故中」の対策として適切なのはどれか？,シートベルトの着用,道路照明の改善,安全教育の実施,地域の見守り,1,事故中は被害を最小限にするための安全装備などが重要である。,"ハドンマトリクス,事故中,安全装備",2,,,,,
593,M04,M04U01,ハドン・マトリクスの「事故後」に該当する取り組みはどれか？,救急搬送体制の整備,信号機の設置,交通安全講習,車の整備点検,1,事故後は迅速な救助や医療体制の整備が重要である。,"ハドンマトリクス,事故後,救急",2,,,,,
594,M04,M04U01,事故の防止における「ヒューマンエラー」の例として正しいものはどれか？,赤信号を見落とす,信号が故障している,道路がぬれている,風が強い,1,ヒューマンエラーは人の不注意や誤操作などのミスを指す。,"ヒューマンエラー,不注意,誤操作",2,,,,,
595,M04,M04U01,事故要因の分析で用いられる「ヒューマンファクター」とは何か？,人間の行動や心理的特性が事故に関係する考え方,機械の性能を分析する考え方,自然環境を重視する考え方,統計的傾向を分析する方法,1,ヒューマンファクターは人の特性や行動を分析する視点である。,"ヒューマンファクター,心理,行動",3,,,,,
596,M04,M04U01,ハインリッヒの法則が示す教訓として正しいものはどれか？,小さなヒヤリハットの段階で対策することが重要である,重大事故は防ぎようがない,事故は偶然に起こる,軽微な事故は重要でない,1,軽微な事故やヒヤリハットの対策が重大事故防止につながる。,"ハインリッヒ,予防,危険予知",2,,,,,
597,M04,M04U01,事故防止のための「安全教育」で大切な視点はどれか？,危険を予測し行動できる力を育てる,ルールを暗記させる,事故後に対応できる力を養う,点数で評価する,1,安全教育では危険を予測して行動できる力の育成が重要である。,"安全教育,危険予測,行動",2,,,,,
598,M04,M04U01,事故防止のために設けられる道路の構造的対策の例はどれか？,ガードレールの設置,安全講話の実施,交通ルールの周知,自転車講習会,1,道路環境の整備は物理的な事故予防策の一つである。,"環境整備,道路設計,構造対策",3,,,,,
599,M04,M04U01,学校での事故防止において教員が重視すべき点はどれか？,安全点検と危険予測,成績評価,体力テストの実施,校則の確認,1,学校では環境点検と危険予測による安全管理が大切である。,"学校安全,点検,危険予測",2,,,,,
600,M04,M04U01,事故の防止において社会的支援が果たす役割として適切なのはどれか？,地域や行政が安全環境づくりに関わること,個人が自力で防止策をとること,事故後の責任追及を行うこと,交通違反を取り締まるだけにすること,1,社会全体で安全な環境を整えることが事故防止につながる。,"社会的支援,環境整備,地域",3,,,,,