id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_alcohol_and_health
271,M02,M02U04,アルコールの主な成分はどれか？,エタノール,メタノール,アセトアルデヒド,ブドウ糖,1,アルコール飲料に含まれる主成分はエタノールであり、体内で分解される。,"成分,エタノール,基礎",1,,,,,
272,M02,M02U04,アルコールが体に入ると最初に分解される場所はどこか？,胃,肝臓,腎臓,小腸,2,アルコールは主に肝臓で代謝され、アセトアルデヒドを経て酢酸に分解される。,"代謝,肝臓,アセトアルデヒド",1,,,,,
273,M02,M02U04,アセトアルデヒドとは何か？,アルコールが代謝されてできる中間産物,アルコールを作る原料,アルコールを分解する酵素,飲酒による病気の名称,1,アルコールは肝臓でアセトアルデヒドに分解され、これが有害な作用をもつ。,"代謝,有害物質,肝臓",1,,,,,
274,M02,M02U04,アルコールの代謝に関わる酵素でないものはどれか？,ADH,ALDH2,ペプシン,ALDH1,3,ペプシンは胃の消化酵素であり、アルコール代謝とは関係がない。,"酵素,ADH,ALDH2",2,,,,,
275,M02,M02U04,アルコールの急性影響として正しいものはどれか？,判断力の低下,肝硬変の進行,アルコール依存症の発症,脂肪肝の形成,1,急性の飲酒では中枢神経の抑制により判断力や運動能力が低下する。,"急性影響,判断力,神経",1,,,,,
276,M02,M02U04,アルコール依存症の特徴はどれか？,飲酒のコントロールができない,すぐに顔が赤くなる,アルコールを全く受け付けない,一度の飲酒量が極端に少ない,1,依存症は心理的・身体的依存が形成され、飲酒をやめられなくなる状態。,"依存症,精神依存,身体依存",1,,,,,
277,M02,M02U04,アルコールハラスメントにあたる行為はどれか？,飲酒を強要する,飲み物をすすめる,乾杯を断る,水を飲む,1,アルコールハラスメントは飲酒の強要や断酒者への嫌がらせを指す。,"人間関係,ハラスメント,飲酒文化",2,,,,,
278,M02,M02U04,未成年者の飲酒が特に危険とされる理由はどれか？,脳や肝臓が未発達だから,アルコールを多く分解できるから,体重が重いから,体温が高いから,1,未成年は臓器が発達途上であり、少量の飲酒でも健康被害が大きい。,"未成年,発達,健康被害",1,,,,,
279,M02,M02U04,日本で20歳未満の飲酒が禁止されている理由はどれか？,発達への悪影響を防ぐため,税収を確保するため,飲食店の利益を守るため,医療費を減らすため,1,未成年飲酒禁止法により、発達期の健康被害を防ぐ目的で飲酒が禁止されている。,"法制度,未成年,健康保護",1,,,,,
280,M02,M02U04,飲酒運転を防止するために有効な社会的取り組みはどれか？,アルコール検知装置の設置,飲酒運転を黙認する,運転前の飲酒を推奨する,運転者に酒を提供する,1,職場や公共交通での検知装置設置や厳罰化が飲酒運転防止に効果的である。,"飲酒運転,社会対策,交通安全",2,,,,,
281,M02,M02U04,アルコール依存症の身体的な影響として適切なのはどれか？,肝硬変,花粉症,骨粗しょう症,白血病,1,長期の大量飲酒は肝細胞を破壊し、肝硬変を引き起こす原因となる。,"肝硬変,依存症,長期飲酒",1,,,,,
282,M02,M02U04,アルコールが脳に与える影響で正しいものはどれか？,判断力や抑制の低下,記憶力の向上,神経の発達促進,集中力の改善,1,アルコールは中枢神経を抑制し、判断力や抑制が低下する。,"脳,神経,判断力",1,,,,,
283,M02,M02U04,「アルコールフラッシング反応」とはどのような現象か？,飲酒後に顔が赤くなる,手足がしびれる,眠気が強くなる,発熱が起きる,1,ALDH2活性が低い人ではアセトアルデヒドが蓄積し、顔が赤くなる反応が起こる。,"遺伝,ALDH2,体質",2,,,,,
284,M02,M02U04,大量飲酒によって最も影響を受けやすい臓器はどれか？,肝臓,心臓,膵臓,腎臓,1,肝臓はアルコールの代謝を担うため、過剰飲酒により障害を受けやすい。,"臓器,肝臓,代謝",1,,,,,
285,M02,M02U04,妊娠中の飲酒によって起こるおそれがあるのはどれか？,胎児性アルコール症候群,骨粗しょう症,てんかん,風疹,1,胎児性アルコール症候群（FAS）は胎児の発達や脳機能に悪影響を及ぼす。,"妊娠,胎児性アルコール症候群,FAS",2,,,,,
286,M02,M02U04,飲酒ががんのリスクを高める部位として誤っているのはどれか？,大腸,口腔,咽頭,肺,4,アルコールは口腔・咽頭・食道・肝臓などのがんリスクを高めるが肺には直接影響しない。,"がん,リスク,部位",2,,,,,
287,M02,M02U04,急性アルコール中毒の危険な症状はどれか？,意識障害,頭痛,のどの渇き,発汗,1,急性アルコール中毒では呼吸抑制や意識障害が起こり、命に関わる。,"急性中毒,意識障害,救急",1,,,,,
288,M02,M02U04,急性アルコール中毒が疑われる場合の対応として正しいのはどれか？,救急車を呼ぶ,寝かせて様子を見る,水を飲ませる,風を当てる,1,意識障害がある場合は自己判断せず、直ちに救急要請する必要がある。,"急性中毒,応急手当,救急",1,,,,,
289,M02,M02U04,飲酒運転の罰則が強化された目的として正しいのはどれか？,事故の防止,売上の増加,観光の促進,飲酒の推奨,1,飲酒運転による交通事故を防止し、命を守るために厳罰化が行われている。,"社会対策,罰則,交通安全",2,,,,,
290,M02,M02U04,日本の飲酒対策として誤っているものはどれか？,20歳未満の飲酒を推奨する,酒類販売の年齢確認を行う,飲酒運転を禁止する,アルコール広告に制限を設ける,1,日本では未成年飲酒禁止法により20歳未満の飲酒は厳しく禁じられている。,"法制度,飲酒対策,社会",1,,,,,
291,M02,M02U04,WHOが示すアルコールの世界的課題に含まれないものはどれか？,経済の活性化,健康被害,交通事故,依存症,1,WHOはアルコールによる健康被害や依存を防ぐ国際的対策を重視している。,"国際,WHO,健康政策",3,,,,,
292,M02,M02U04,日本で行われているアルコール対策の一つはどれか？,広告・販売の自主規制,飲酒推進イベントの実施,高校生への販売促進,無税販売の推奨,1,日本では業界団体による広告・販売の自主規制が行われている。,"広告,販売規制,日本政策",2,,,,,
293,M02,M02U04,アルコールが社会問題になる要因として正しいものはどれか？,暴力や犯罪の誘発,空気汚染,感染症の拡大,水質汚濁,1,飲酒は暴力・DV・交通事故など社会問題を引き起こす要因となる。,"社会問題,暴力,犯罪",2,,,,,
294,M02,M02U04,飲酒によるアルコール依存症の精神的特徴はどれか？,飲酒への強い欲求,飲酒量の低下,酒を嫌悪する,甘いものを好む,1,依存症では飲酒をやめたくても強い欲求により再飲酒してしまう。,"精神依存,欲求,依存症",1,,,,,
295,M02,M02U04,飲酒と自殺リスクの関係について正しいものはどれか？,多量飲酒者ほど自殺リスクが高い,飲酒は自殺を防ぐ,関係はない,軽度飲酒者が最も高い,1,研究によると多量飲酒や依存傾向がある人ほど自殺のリスクが高い。,"自殺,メンタルヘルス,飲酒",3,,,,,
296,M02,M02U04,アルコール依存症の回復に必要な支援として正しいものはどれか？,医療・カウンセリング,放置,隠す,強制的な隔離のみ,1,依存症は医療機関での治療とカウンセリング、社会的支援が重要である。,"治療,支援,依存症",2,,,,,
297,M02,M02U04,アルコールと生活習慣病の関係で正しいものはどれか？,高血圧や脂肪肝を引き起こす,糖尿病を防ぐ,心臓病を完全に治す,骨密度を高める,1,長期の多量飲酒は高血圧や脂肪肝など生活習慣病のリスクを高める。,"生活習慣病,高血圧,脂肪肝",2,,,,,
298,M02,M02U04,職場でのアルコール対策として望ましいものはどれか？,飲酒運転防止教育の実施,飲み会の強制,上司による飲酒指導,勤務中の飲酒,1,職場では安全確保のため、教育や啓発活動による飲酒防止が求められる。,"職場,教育,安全",2,,,,,
299,M02,M02U04,アルコールに関する国際的な目標を掲げた会議はどれか？,世界保健総会,パリ協定,京都議定書,国連人権会議,1,2010年の世界保健総会でアルコール問題への国際的対応が採択された。,"国際,WHO,政策",3,,,,,
300,M02,M02U04,健康的な飲酒文化の形成に向けて重要な考え方はどれか？,個人と社会の責任を両立させる,飲酒を完全禁止にする,飲酒を推進する,規制を撤廃する,1,個人の自由と社会的責任の両立を意識し、健康的な飲酒文化を目指すことが重要。,"文化,責任,健康増進",3,,,,,