id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_cancer_treatment_and_recovery
121,M01,M01U05,がんの主な治療法として正しいのはどれか？,手術療法,食事療法,心理療法,温泉療法,1,がん治療には手術・化学療法・放射線療法の3つが基本である。,"治療法,基礎,定義",1,,,,,
122,M01,M01U05,化学療法の目的として最も適切なのはどれか？,がん細胞を薬で攻撃する,放射線でがんを照射する,免疫でがんを防ぐ,遺伝子を修復する,1,化学療法は抗がん剤を用いてがん細胞の増殖を抑制または死滅させる治療である。,"化学療法,抗がん剤,目的",1,,,,,
123,M01,M01U05,放射線療法において行うことはどれか？,X線などをがんに照射する,薬を服用する,がんを切除する,免疫を高める,1,放射線療法は放射線をがんに照射し、がん細胞のDNAを損傷させることで死滅させる。,"放射線療法,DNA,作用",1,,,,,
124,M01,M01U05,がんの緩和ケアの目的として正しいのはどれか？,苦痛の軽減と生活の質の向上,がんの完治,がんの再発予防,免疫力の強化,1,緩和ケアは苦痛を和らげ、患者と家族の生活の質（QOL）を高めることを目的とする。,"緩和ケア,QOL,目的",1,,,,,
125,M01,M01U05,がん患者を支える医療チームに含まれる職種はどれか？,医師・看護師・薬剤師など,患者の友人のみ,教師と保健師,医療機器メーカー,1,チーム医療では医師・看護師・薬剤師・リハビリ職など多職種が連携して患者を支える。,"チーム医療,多職種,支援",1,,,,,
126,M01,M01U05,がん免疫療法の特徴として正しいのはどれか？,免疫の働きを利用してがんを攻撃する,抗生物質で感染を防ぐ,体温を上げて治療する,放射線の量を増やす,1,免疫療法は免疫細胞の働きを高めてがん細胞を攻撃する新しい治療法である。,"免疫療法,新治療,免疫",2,,,,,
127,M01,M01U05,がんゲノム医療の目的として最も適切なのはどれか？,遺伝子情報に基づいて最適な治療を行う,がんの場所を確認する,食事で体力を回復する,運動療法を行う,1,がんゲノム医療は遺伝子変異を調べて個々の患者に合った治療を選択する医療である。,"ゲノム医療,遺伝子,個別化医療",2,,,,,
128,M01,M01U05,がんサバイバーとはどのような人か？,がんを経験し治療を受けながら生きる人,医療従事者,がんを研究する人,家族の介護をする人,1,がんサバイバーとはがんを経験し、治療を受けながら社会で生活している人を指す。,"サバイバー,社会参加,支援",2,,,,,
129,M01,M01U05,がんとともに生きる社会づくりで重要とされる視点はどれか？,就労や教育など社会的支援,運動能力の向上,食事量の増加,睡眠時間の確保,1,がんになっても働き続けたり学び続けたりできる社会的支援の仕組みが求められている。,"社会支援,就労,教育",2,,,,,
130,M01,M01U05,WHOによる緩和ケアの定義で重視されるのはどれか？,生命の質の向上,延命の徹底,医療費の削減,投薬量の減少,1,WHOは緩和ケアを「生命の質を向上させるアプローチ」と定義している。,"WHO,定義,QOL",1,,,,,
131,M01,M01U05,がんの手術療法で行われる内容として正しいのはどれか？,がんの部分を切除する,薬でがんを抑える,放射線をあてる,免疫を高める,1,手術療法はがんの病巣を直接切除して取り除くことを目的とする。,"手術療法,外科,目的",1,,,,,
132,M01,M01U05,がん治療の3つの柱に含まれないものはどれか？,食事療法,手術療法,化学療法,放射線療法,1,食事療法は補助的な健康管理であり、主要な3つの治療法には含まれない。,"基本治療,分類,誤答",1,,,,,
133,M01,M01U05,がんの治療におけるチーム医療の目的はどれか？,患者を中心に多職種が連携すること,医師だけで治療を進めること,費用を抑えること,治療を短期間で終えること,1,チーム医療は医師や看護師などが連携し患者中心の治療を実現する仕組みである。,"チーム医療,連携,患者中心",1,,,,,
134,M01,M01U05,緩和ケアが開始されるのはいつからが望ましいか？,診断時から,治療が終わってから,末期のみ,再発時のみ,1,緩和ケアはがんの診断時から取り入れることが推奨されている。,"緩和ケア,時期,WHO",1,,,,,
135,M01,M01U05,がん免疫療法で使われる薬の種類はどれか？,免疫チェックポイント阻害薬,抗生物質,鎮痛薬,抗ウイルス薬,1,免疫チェックポイント阻害薬は免疫細胞の働きを抑えるブレーキを解除する薬である。,"免疫療法,薬剤,免疫",2,,,,,
136,M01,M01U05,がんゲノム医療が広がった背景として正しいのはどれか？,遺伝子解析技術の進歩,薬の価格上昇,感染症の流行,食生活の変化,1,遺伝子解析技術の発展により、がんの個別化治療が可能になった。,"ゲノム医療,技術,背景",2,,,,,
137,M01,M01U05,がんサバイバーの社会的課題として適切なのはどれか？,就労や教育の継続,長期旅行の実施,運転免許の返納,スポーツ競技,1,がん治療後も社会生活を続けるうえで就労や教育の支援が重要となる。,"サバイバー,社会課題,就労",2,,,,,
138,M01,M01U05,がんとともに生きる社会を支える仕組みの一つはどれか？,がん相談支援センター,医療費控除,特定健診,がん登録,1,がん相談支援センターはがん患者や家族の悩みを相談できる全国的な拠点である。,"社会支援,相談,センター",2,,,,,
139,M01,M01U05,がん患者支援で大切にされる考え方はどれか？,QOL（生活の質）の向上,医療費の削減,延命の最優先,家族の負担軽減のみ,1,QOLは患者と家族の生活の質を重視し、よりよく生きることを支援する考え方である。,"QOL,価値観,生活",1,,,,,
140,M01,M01U05,がんの放射線療法で使用される線はどれか？,X線や電子線,紫外線,可視光線,超音波,1,放射線療法ではX線や電子線を利用してがん細胞を破壊する。,"放射線療法,X線,電子線",1,,,,,
141,M01,M01U05,がん免疫療法が注目される理由はどれか？,副作用が比較的少なく長期治療が可能,抗がん剤より即効性が高い,すべてのがんに効く,痛みを完全に除去する,1,免疫療法は体の免疫機能を活かすため副作用が少なく継続治療が可能である。,"免疫療法,副作用,特徴",2,,,,,
142,M01,M01U05,がんゲノム医療における遺伝子検査の目的はどれか？,治療薬の選択に役立てる,家族関係を調べる,病歴を記録する,感染源を特定する,1,遺伝子検査でがんの変異を特定し有効な薬剤を選ぶことができる。,"遺伝子検査,個別治療,医療",2,,,,,
143,M01,M01U05,がんの社会的支援に含まれないものはどれか？,感染症対策,就労支援,教育支援,相談窓口の整備,1,感染症対策はがん支援とは別領域であり、直接的な支援には含まれない。,"社会支援,誤答,境界",3,,,,,
144,M01,M01U05,がんに対する差別や偏見を減らすために必要なのはどれか？,正しい知識の普及,厳しい規制,報道の制限,医療費の削減,1,がんについての正しい知識と理解を広めることが偏見解消の第一歩となる。,"社会理解,教育,偏見",3,,,,,
145,M01,M01U05,がん患者の就労支援に関する取り組みの例はどれか？,職場復帰プログラムの整備,治療費の返還制度,学校教育の改革,観光事業,1,治療と仕事の両立を支援する職場復帰制度などが整備されている。,"就労支援,社会支援,両立",2,,,,,
146,M01,M01U05,AYA世代とはどの年齢層を指すか？,思春期から若年成人期,幼児期,中高年期,高齢期,1,AYA世代は思春期から若年成人期（おおむね15〜39歳）を指す。,"AYA,年齢層,若年",2,,,,,
147,M01,M01U05,がん対策推進基本計画の目的はどれか？,がん予防・治療・共生の総合的推進,医療費削減,患者数の隠蔽,保険制度の改廃,1,国が策定したがん対策推進基本計画は予防・治療・共生を総合的に進めることを目的とする。,"政策,基本計画,推進",2,,,,,
148,M01,M01U05,がん情報サービスの役割として正しいのはどれか？,がんに関する正確な情報を提供する,治療を代行する,検査を行う,手術を支援する,1,がん情報サービスはがんに関する信頼できる情報を国民に提供するウェブサイトである。,"情報サービス,支援,啓発",2,,,,,
149,M01,M01U05,がん哲学外来で重視されていることはどれか？,対話による心のケア,薬の投与,食事指導,運動指導,1,がん哲学外来では医師と患者の対話を通じて心の支えを提供する。,"哲学外来,対話,心のケア",3,,,,,
150,M01,M01U05,がんに関する社会的支援の拡充が目指す最終的な目標はどれか？,誰もががんとともに生きられる社会,がんの完全撲滅,医療費の削減,人口増加の促進,1,社会的支援はがんと共生しながら誰もが安心して生活できる社会の実現を目指している。,"共生社会,支援,目標",3,,,,,