id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_cardiopulmonary_resuscitation
721,M04,M04U06,心肺蘇生法とはどのような処置か？,心臓や呼吸が止まった人の命を救うための応急手当,けがをした人に包帯を巻くこと,熱中症を防ぐための処置,出血を止める止血法,1,心肺蘇生法は心停止や呼吸停止の人に対して心臓と呼吸の働きを人工的に補う応急手当である。,"定義,応急手当,蘇生",1,,,,,
722,M04,M04U06,胸骨圧迫の目的はどれか？,心臓が止まっても血液を全身に送り続けるため,心拍を完全に回復させるため,呼吸を楽にするため,体温を上げるため,1,胸骨圧迫は心臓のポンプ機能を一時的に代行して血流を維持する目的で行う。,"胸骨圧迫,循環,目的",1,,,,,
723,M04,M04U06,胸骨圧迫を行う際の圧迫の深さはどれくらいか？,およそ1cm,およそ3cm,およそ5cm,およそ10cm,3,成人の場合は胸の厚さの約3分の1にあたる5cm程度の深さで圧迫する。,"胸骨圧迫,深さ,成人",1,,,,,
724,M04,M04U06,胸骨圧迫のテンポとして正しいのはどれか？,毎分60回程度,毎分80回程度,毎分100〜120回程度,毎分150回以上,3,胸骨圧迫は一定のリズムで毎分100〜120回の速さで行う。,"胸骨圧迫,回数,テンポ",1,,,,,
725,M04,M04U06,胸骨圧迫を行う手の位置として正しいのはどれか？,胸の中央,みぞおちの上,左胸の下,あごの下,1,胸骨圧迫は胸の中央（両乳頭を結んだ線の少し下）に手の付け根を置いて行う。,"胸骨圧迫,位置,手技",1,,,,,
726,M04,M04U06,人工呼吸と胸骨圧迫の組み合わせの基本はどれか？,圧迫10回ごとに人工呼吸1回,圧迫15回ごとに人工呼吸1回,圧迫30回ごとに人工呼吸2回,圧迫50回ごとに人工呼吸5回,3,基本は胸骨圧迫30回に対して人工呼吸2回の組み合わせである。,"人工呼吸,胸骨圧迫,組み合わせ",1,,,,,
727,M04,M04U06,AEDとは何か？,体温を測る機械,自動体外式除細動器,血圧を測る装置,呼吸を確認する装置,2,AEDは心臓のけいれんを電気ショックで止めて正常なリズムを取り戻す機械である。,"AED,定義,除細動",1,,,,,
728,M04,M04U06,AEDを使用する目的として正しいのはどれか？,呼吸を再開させるため,血流を完全に回復させるため,心臓のけいれんを止めて正常な拍動を取り戻すため,意識を回復させるため,3,AEDは心室細動などのけいれんを電気ショックで止めて心臓の正常なリズムを回復させる。,"AED,目的,心室細動",1,,,,,
729,M04,M04U06,AEDの使用手順で最初に行うことはどれか？,電源を入れる,電極パッドを貼る,ショックボタンを押す,人工呼吸を行う,1,AEDを使用する際は、まず電源を入れ、音声ガイダンスに従って操作を行う。,"AED,手順,初動",1,,,,,
730,M04,M04U06,心肺蘇生法を行う前に最初に確認すべきことはどれか？,反応があるかどうか,呼吸があるかどうか,脈があるかどうか,出血していないかどうか,1,まず呼びかけて反応があるかを確認し、なければ119番通報とAED手配に進む。,"心肺蘇生,手順,初期対応",1,,,,,
731,M04,M04U06,心肺蘇生法の実施において最も重要なことはどれか？,勇気をもってためらわずに行動すること,医師が到着するまで待つこと,器具をすぐに用意すること,マスクを必ずつけること,1,心肺蘇生法では一刻を争うため、ためらわず迅速に行動する勇気が最も大切である。,"行動,応急手当,勇気",2,,,,,
732,M04,M04U06,心肺蘇生法において119番通報を行う目的はどれか？,現場の安全を確認するため,救急隊に早く来てもらうため,周囲の人に知らせるため,被災状況を記録するため,2,通報はできるだけ早く行い、救急隊の出動を促すことが救命率を高める。,"通報,救急隊,連携",2,,,,,
733,M04,M04U06,反応がない場合に次に確認することはどれか？,呼吸の有無,体温,血圧,瞳孔の大きさ,1,反応がなければ次に呼吸の有無を10秒以内で確認する。,"反応,呼吸,観察",1,,,,,
734,M04,M04U06,呼吸がない場合に行うべき行動はどれか？,119番通報とAEDの手配を行う,意識が戻るまで様子を見る,体を横向きにする,体を揺さぶる,1,呼吸がなければ心停止の可能性が高く、ただちに通報とAEDの準備を行う。,"呼吸,通報,初期対応",1,,,,,
735,M04,M04U06,胸骨圧迫を行う際の姿勢として正しいものはどれか？,ひじを曲げて力をかける,体重を腕にのせて垂直に押す,手首の力だけで押す,肩を後ろに引いて押す,2,ひじを伸ばして自分の体重をかけて垂直に圧迫するのが効果的である。,"姿勢,胸骨圧迫,体重",1,,,,,
736,M04,M04U06,人工呼吸を行うときの気道確保の方法はどれか？,あご先挙上法,肩甲骨圧迫法,腹部突き上げ法,胸骨持ち上げ法,1,気道を開くために額を押さえてあごを上げる「あご先挙上法」を用いる。,"気道確保,人工呼吸,手技",1,,,,,
737,M04,M04U06,人工呼吸の際に息を吹き込む時間として適切なのはどれか？,1回あたり約1秒,1回あたり約3秒,1回あたり約5秒,できるだけ長く,1,1回につき約1秒で胸が軽く上がる程度に吹き込むのが適切である。,"人工呼吸,時間,吹き込み",2,,,,,
738,M04,M04U06,人工呼吸を省略してもよい場合として正しいのはどれか？,感染の危険がある場合,時間がかかる場合,天候が悪い場合,周囲に人が多い場合,1,感染症の懸念などがあるときは人工呼吸を省略し胸骨圧迫を優先する。,"人工呼吸,感染予防,判断",2,,,,,
739,M04,M04U06,AEDの音声ガイダンスの目的はどれか？,操作を簡単にするため,ショックの電圧を調整するため,装置の故障を知らせるため,心拍数を計測するため,1,AEDは音声で操作を案内し誰でも落ち着いて使用できるように設計されている。,"AED,音声,支援",2,,,,,
740,M04,M04U06,電気ショックが不要と指示された場合にとるべき対応はどれか？,すぐに胸骨圧迫を再開する,電極パッドを外す,人工呼吸をやめる,ショックボタンを押す,1,ショック不要と指示された場合でも心拍は回復していないことが多く、胸骨圧迫を続ける。,"AED,判断,再開",2,,,,,
741,M04,M04U06,AEDの電極パッドを貼る位置として正しいのはどれか？,右胸上部と左脇腹部,両肩の上,背中の左右,胸の真ん中とみぞおち,1,電極パッドは心臓をはさむように右胸上部と左脇腹に貼る。,"AED,電極パッド,位置",2,,,,,
742,M04,M04U06,胸骨圧迫を中断してよいのはどのようなときか？,AEDの指示に従うとき,疲れたとき,他の人が見ているとき,1分経過したとき,1,AEDの解析や電気ショック時など、必要な場合以外は中断しない。,"胸骨圧迫,中断,注意点",2,,,,,
743,M04,M04U06,蘇生の連鎖（Chain of Survival）の第一段階はどれか？,心停止の予防,早期認識と通報,早期のAED使用,医療機関での治療,2,最初の段階は「心停止の早期認識と通報」である。,"蘇生の連鎖,通報,段階",2,,,,,
744,M04,M04U06,蘇生の連鎖の第二段階にあたるのはどれか？,心停止の予防,迅速な心肺蘇生,早期のAED使用,集中治療,2,通報の次に行うのは「迅速な心肺蘇生」である。,"蘇生の連鎖,心肺蘇生,段階",2,,,,,
745,M04,M04U06,心肺蘇生法を行う際に安全確認を行う理由はどれか？,救助者自身が事故に遭わないため,被救助者の意識を確認するため,周囲の人に知らせるため,時間を測るため,1,救助者自身の安全が確保されていないと二次災害につながるためである。,"安全確認,手順,応急手当",1,,,,,
746,M04,M04U06,救助者が2人いる場合の胸骨圧迫と人工呼吸の役割分担はどれか？,交代しながら行う,1人が圧迫のみ行う,1人が通報に専念する,役割を固定する,1,2人の場合は疲労を防ぐために一定の周期で交代して行う。,"協力,胸骨圧迫,人工呼吸",2,,,,,
747,M04,M04U06,胸骨圧迫を再開するタイミングとして正しいのはどれか？,ショック直後,呼吸が戻るまで待つ,医師が到着してから,AEDの電源を切る前,1,ショック後すぐに胸骨圧迫を再開することで血流を維持できる。,"AED,胸骨圧迫,再開",2,,,,,
748,M04,M04U06,心肺蘇生法の有効性が高いのはどのような場合か？,早期に処置が開始された場合,夜間に行われた場合,複数人で同時に行った場合,ショックが不要な場合,1,発見から早い段階で心肺蘇生を行うほど救命率が高まる。,"救命率,早期対応,効果",2,,,,,
749,M04,M04U06,感染症流行時に人工呼吸を行う際の注意点はどれか？,マスクや布で口を覆う,通常どおり行う,呼吸を強く吹き込む,圧迫をやめる,1,感染防止のためマスクや布を使う、または人工呼吸を省略することが推奨される。,"感染症,人工呼吸,対策",3,,,,,
750,M04,M04U06,学校や地域にAEDを設置する意義はどれか？,救命率を高めることができるから,装置の操作練習ができるから,保健室の負担を減らすから,心拍数を測定できるから,1,AEDを多くの人が使える場所に設置することで心停止時の救命率が向上する。,"AED,地域,救命率",3,,,,,