id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_drug_abuse_and_health
301,M02,M02U05,薬物乱用とはどのような行為を指すか？,医薬品を本来の目的以外で使用すること,薬を飲み忘れること,医師の指示通りに服用すること,風邪薬を飲むこと,1,薬物乱用とは医薬品や違法薬物を本来の目的以外に使用し心身に害を及ぼす行為をいう。,"定義,医薬品,乱用",1,,,,,
302,M02,M02U05,覚醒剤の使用によって起こる主な影響はどれか？,興奮や幻覚,眠気や倦怠感,集中力の低下,食欲の増進,1,覚醒剤は神経を興奮させ、幻覚や妄想などの精神症状を引き起こす。,"覚醒剤,神経系,影響",1,,,,,
303,M02,M02U05,MDMAの乱用によって生じる危険な症状はどれか？,体温上昇や脱水症状,食欲不振のみ,軽い頭痛,睡眠過多,1,MDMAは体温調節ができなくなり重い脱水や高体温症を引き起こす危険がある。,"MDMA,副作用,熱中症",2,,,,,
304,M02,M02U05,大麻の乱用によって特に問題となる影響はどれか？,記憶力や判断力の低下,集中力の上昇,免疫力の向上,体力の増加,1,大麻は脳の働きを抑制し、記憶力や判断力などの認知機能を低下させる。,"大麻,認知機能,脳への影響",1,,,,,
305,M02,M02U05,薬物乱用が社会に及ぼす影響として適切なのはどれか？,犯罪や暴力の増加,環境汚染の増加,出生率の上昇,交通事故の減少,1,薬物乱用は社会秩序を乱し、犯罪・暴力・家庭崩壊などの社会問題を引き起こす。,"社会問題,犯罪,影響",1,,,,,
306,M02,M02U05,薬物乱用者が使用をやめにくくなる理由として最も適切なのはどれか？,精神的・身体的依存が生じるから,薬の味がよいから,医師の勧めだから,経済的に余裕があるから,1,薬物乱用は脳に依存性を生じさせ、自分の意思ではやめにくくなる。,"依存,脳,行動変化",1,,,,,
307,M02,M02U05,薬物乱用を引き起こす要因として誤っているのはどれか？,自分を強く見せたい,仲間に誘われた,健康を維持したい,ストレスを解消したい,3,健康維持は正当な医療目的であり、乱用の動機には含まれない。,"要因,動機,誤答確認",2,,,,,
308,M02,M02U05,薬物乱用を防ぐために必要な社会的対策はどれか？,法による規制と取締り,販売促進の拡大,SNSでの宣伝許可,海外からの輸入自由化,1,法律によって製造・所持・販売・使用を厳しく取り締まることが基本である。,"法的規制,防止,社会対策",1,,,,,
309,M02,M02U05,薬物乱用防止教育のねらいとして最も適切なのはどれか？,自分で断る力を育てる,薬の名前を覚える,使用経験を共有する,使用方法を学ぶ,1,薬物をすすめられたときに自分の意思で断れるようにすることが教育の目的である。,"教育,予防,断る力",1,,,,,
310,M02,M02U05,若者が薬物乱用に巻き込まれるきっかけとして多いものはどれか？,インターネットやSNSでの誘い,学校行事,医師の処方,保護者の勧め,1,近年はSNSなどを通じた勧誘が多く、若者が簡単に巻き込まれる危険がある。,"若者,インターネット,誘い",2,,,,,
311,M02,M02U05,薬物乱用による身体への影響として正しいのはどれか？,脳の機能が低下する,筋力が増加する,視力が改善する,食欲が増す,1,薬物乱用は脳神経を損ない記憶力や判断力の低下を引き起こす。,"脳,神経,健康影響",1,,,,,
312,M02,M02U05,シンナーなどの吸入剤を乱用すると起こりやすい障害はどれか？,脳の萎縮,骨の成長促進,視力の改善,血圧の上昇,1,シンナーは中枢神経を麻痺させ脳の萎縮を引き起こすことがある。,"吸入剤,中枢神経,脳障害",1,,,,,
313,M02,M02U05,薬物依存の特徴として誤っているものはどれか？,使用をやめても支障がない,使用をやめると不安になる,使用量が増えていく,使用をやめる意思が弱くなる,1,薬物依存では精神的・身体的に薬を求める状態が続く。,"依存,特徴,誤答確認",1,,,,,
314,M02,M02U05,薬物乱用者の脳画像でみられる変化として正しいのはどれか？,脳の一部が萎縮している,脳のしわが増える,血管が太くなる,脳が活性化している,1,薬物乱用によって脳の構造が変化し萎縮が確認される。,"脳画像,萎縮,影響",2,,,,,
315,M02,M02U05,薬物乱用がもたらす家庭への影響として最も適切なのはどれか？,家族関係の悪化,家族の信頼が高まる,家計が豊かになる,健康意識が高まる,1,薬物乱用は家族間の信頼を失わせ暴力や経済的問題を生む。,"家庭,人間関係,社会問題",2,,,,,
316,M02,M02U05,薬物乱用が引き起こす社会的損失として正しいものはどれか？,犯罪や交通事故の増加,医療費の削減,教育水準の向上,雇用の増加,1,乱用は犯罪や事故を誘発し社会全体のコストを増大させる。,"社会損失,犯罪,経済",2,,,,,
317,M02,M02U05,薬物乱用のきっかけとして最も多い理由はどれか？,好奇心や興味,医師の指示,家族のすすめ,学業のため,1,若者の多くは軽い気持ちや好奇心から薬物に手を出してしまう。,"要因,心理,若者",2,,,,,
318,M02,M02U05,薬物乱用を防ぐために家庭でできる工夫はどれか？,会話を大切にする,放任する,強く叱る,無関心でいる,1,家庭での信頼関係や対話が薬物乱用防止の基盤となる。,"家庭,予防,信頼関係",2,,,,,
319,M02,M02U05,薬物乱用防止教育で育てたい資質として正しいのはどれか？,自己決定力,服従力,消費意欲,情報操作力,1,薬物の誘いを断るためには自分で判断し行動する力が必要である。,"教育,資質,自己決定",2,,,,,
320,M02,M02U05,薬物乱用防止のための法律に関係するものはどれか？,覚醒剤取締法,道路交通法,電波法,建築基準法,1,覚醒剤取締法は薬物の製造・所持・使用を禁止する法律である。,"法律,規制,覚醒剤",1,,,,,
321,M02,M02U05,薬物乱用の再発を防ぐために重要なのはどれか？,周囲の支援と治療の継続,本人を孤立させる,刑罰のみで終える,放置する,1,依存症は治療と社会的支援を継続することが再発防止につながる。,"再発防止,治療,支援",2,,,,,
322,M02,M02U05,薬物依存症の治療で行われる主な支援はどれか？,自助グループによる支援,投薬の強制,隔離のみ,懲罰的指導,1,同じ経験をもつ人の支援が依存からの回復を助ける。,"依存症,治療,自助グループ",3,,,,,
323,M02,M02U05,薬物乱用防止教育で特に重視すべき内容はどれか？,断るスキルの習得,薬品名の暗記,販売経路の把握,使用経験の共有,1,誘いを断る実践的なスキル教育が重要である。,"教育,スキル,予防",2,,,,,
324,M02,M02U05,若者が薬物乱用に誘われたときの適切な対応はどれか？,きっぱり断る,一度だけ試す,無視して立ち去る,その場で相談する,1,曖昧にせず明確に断ることが最も有効な対応である。,"断る,対応,若者",1,,,,,
325,M02,M02U05,薬物乱用によって起こる交通事故が多い理由はどれか？,判断力や集中力が低下するから,運転技術が上がるから,視界が広がるから,反応が速くなるから,1,薬物の影響で判断力や集中力が低下し事故につながる。,"交通事故,判断力,集中力",2,,,,,
326,M02,M02U05,薬物乱用防止における地域社会の役割として適切なのはどれか？,啓発活動の推進,販売の許可,広告の強化,黙認,1,地域ぐるみで啓発活動を行うことが防止に効果的である。,"地域社会,啓発,防止",2,,,,,
327,M02,M02U05,薬物乱用防止運動のスローガンとして適切なのはどれか？,「ダメ。ゼッタイ。」,「使えば治る」,「少しなら安全」,「友達だからOK」,1,全国的に使われる薬物乱用防止のスローガンは「ダメ。ゼッタイ。」である。,"スローガン,防止運動,啓発",1,,,,,
328,M02,M02U05,薬物乱用防止のために学校ができる取組として正しいのはどれか？,ロールプレイによる断り方の練習,薬物の実物展示,使用体験の共有,販売の調査,1,断り方を学ぶロールプレイは防止教育に有効である。,"学校教育,予防,体験学習",2,,,,,
329,M02,M02U05,薬物乱用を防ぐためにメディアが果たす役割はどれか？,正しい情報の発信,使用者の美化,販売促進,無関心,1,報道やSNSなどを通して正しい情報を伝えることが重要である。,"メディア,情報,啓発",3,,,,,
330,M02,M02U05,薬物乱用の根本的な防止につながる考え方はどれか？,自分の命と健康を大切にする意識,他人の真似をする姿勢,刺激を求める行動,安易な好奇心,1,自己尊重感を高め命と健康を守る意識が根本的な予防につながる。,"価値観,予防,自己尊重",3,,,,,