id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_decision_making
511,M03,M03U06,意思決定・行動選択とはどのようなことか？,自分の健康に関して最も望ましい行動を選ぶこと,他人の意見に従って行動を決めること,一度決めた行動を変えないこと,情報を得ずに直感で行動すること,1,意思決定・行動選択とは自分の健康に関してどのように行動するかを考え、選び取ることである。,"定義,意思決定,行動選択",1,,,,,
512,M03,M03U06,意思決定・行動選択が健康に影響を与える理由はどれか？,日常の行動習慣が健康状態を左右するから,生まれつきの体質がすべてを決めるから,社会的地位によって決まるから,運の良し悪しで決まるから,1,日々の食事や運動、休養などの行動選択が生活習慣病などの発症リスクに関わる。,"影響,健康,生活習慣",1,,,,,
513,M03,M03U06,健康に関する意思決定に影響を与える個人的要因はどれか？,価値観や性格,天候や季節,法律や制度,交通手段,1,個人的要因には、価値観・性格・経験などの内面的要素が含まれる。,"個人要因,価値観,性格",1,,,,,
514,M03,M03U06,健康に関する意思決定に影響を与える社会的要因はどれか？,家族や友人との関係,体質や遺伝,睡眠時間,好みの食べ物,1,社会的要因には、家族・友人・地域社会など人とのつながりが含まれる。,"社会的要因,家族,友人関係",1,,,,,
515,M03,M03U06,意思決定や行動選択を行う際に重要なことはどれか？,信頼できる情報をもとに判断すること,好きな情報だけを信じること,噂を重視すること,感情的に決めること,1,健康に関する判断は科学的根拠や公的機関などの信頼できる情報をもとに行う必要がある。,"情報リテラシー,信頼性,判断",1,,,,,
516,M03,M03U06,健康に関する情報の信頼性を確かめる際に有効なのはどれか？,発信者の専門性や出典を確認する,広告が多いかどうかを見る,口コミ数を確認する,感覚的に判断する,1,信頼できる情報かどうかは、発信者や根拠、出典の明示で判断する。,"情報評価,根拠,出典",2,,,,,
517,M03,M03U06,よりよい意思決定・行動選択のためのステップの最初の段階はどれか？,問題を自覚すること,計画を立てること,実行を続けること,評価を行うこと,1,健康に関する問題を自分のこととして認識することが第一歩となる。,"ステップ,問題認識,行動計画",1,,,,,
518,M03,M03U06,行動を続けるために有効な工夫はどれか？,具体的な目標を設定する,他人任せにする,一度で完全を目指す,できなかった理由を責める,1,行動継続には小さな目標設定と成功体験の積み重ねが有効である。,"行動継続,目標設定,モチベーション",2,,,,,
519,M03,M03U06,ヘルスリテラシーとは何を指すか？,健康に関する情報を正しく理解し活用する力,健康診断の結果を覚える力,病気を治す専門知識,薬を選ぶ能力,1,ヘルスリテラシーは健康に関する情報を入手・理解・評価・活用する力を指す。,"ヘルスリテラシー,情報活用,健康教育",1,,,,,
520,M03,M03U06,日本人のヘルスリテラシーが低い理由として適切なのはどれか？,医療情報へのアクセスや理解力が十分でない,教育水準が高すぎる,マスメディアが発展していない,健康意識が強すぎる,1,日本では医療情報の専門性や複雑さが原因で、正しい情報の理解や判断が難しいとされる。,"ヘルスリテラシー,日本,情報格差",2,,,,,
521,M03,M03U06,エビデンスとは何を意味するか？,科学的根拠,個人の感想,広告の宣伝文句,流行の意見,1,エビデンスとは研究や実験などに基づいた科学的根拠を指す。,"エビデンス,科学的根拠,情報判断",2,,,,,
522,M03,M03U06,健康情報を判断する際に重要な視点はどれか？,エビデンス・価値観・資源とニーズ,感情・流行・直感,人気・価格・印象,時間・天気・場所,1,信頼できる判断には科学的根拠と価値観、利用可能な資源の3要素を考慮する。,"情報判断,価値観,資源",2,,,,,
523,M03,M03U06,エビデンスのレベルが高い研究として最も適切なのはどれか？,系統的レビュー,個人ブログ,体験談,商品広告,1,複数の研究を総合的に分析する系統的レビューは信頼性が高い。,"エビデンス,研究,信頼性",3,,,,,
524,M03,M03U06,ヘルスリテラシーを構成する4つの力に含まれないものはどれか？,記録する力,入手する力,評価する力,理解する力,1,ヘルスリテラシーの4要素は情報の入手・理解・評価・活用であり、記録は含まれない。,"ヘルスリテラシー,構成要素,情報活用",2,,,,,
525,M03,M03U06,よりよい意思決定を行うためのプロセスに最も関連する考え方はどれか？,PDCAサイクル,ランダム行動,衝動的決定,他人依存型行動,1,PDCAサイクルは計画・実行・評価・改善の流れで行動を整理する考え方である。,"意思決定,PDCA,計画",2,,,,,
526,M03,M03U06,「か・ち・も・な・い」による情報の信頼性判断で「か」が示す内容はどれか？,書かれたのは誰か,科学的根拠かどうか,価値のある情報か,価格が高いか,1,「か・ち・も・な・い」は情報の信頼性を判断する視点の略語で、「か」は書かれたのは誰かを示す。,"情報判断,信頼性,略語",3,,,,,
527,M03,M03U06,健康行動理論の1つであるヘルスビリーフモデルの目的はどれか？,人が健康行動を起こす心理的要因を説明する,健康診断の仕組みを解説する,病気を分類する,薬の効果を評価する,1,ヘルスビリーフモデルは人が健康行動をとる動機や心理的背景を説明する理論である。,"行動理論,心理要因,動機づけ",3,,,,,
528,M03,M03U06,行動を変容する際に最初に必要な段階はどれか？,気づきの段階,実行の段階,維持の段階,評価の段階,1,健康行動変容モデルでは、まず自分の行動への気づきから変化が始まる。,"行動変容,段階,気づき",2,,,,,
529,M03,M03U06,「行動変容の段階モデル」における最後の段階はどれか？,維持,準備,関心,実行,1,行動変容の段階モデルは関心→準備→実行→維持の流れで説明される。,"行動変容,維持,段階モデル",2,,,,,
530,M03,M03U06,自己効力感とは何を意味するか？,自分にできるという感覚,他人への信頼感,社会的地位の高さ,成果に対する報酬,1,自己効力感とは自分が望む行動を達成できるという自信を指す。,"心理要因,自己効力感,動機づけ",2,,,,,
531,M03,M03U06,行動を継続する上で有効な社会的支援はどれか？,家族や友人の励まし,一人で努力する,匿名掲示板の投稿,経済的報酬,1,社会的支援は家族や友人などからの協力や励ましによって行動を継続しやすくする。,"社会的支援,行動継続,人間関係",2,,,,,
532,M03,M03U06,ヘルスリテラシーを高めるための有効な方法はどれか？,信頼できる情報源を利用する,流行に流される,不確かな情報を共有する,短時間で決める,1,正確な情報を得るためには公的機関など信頼できる情報源を活用することが重要。,"ヘルスリテラシー,情報源,信頼性",1,,,,,
533,M03,M03U06,社会的ヘルスリテラシーが重視する力はどれか？,他者と協働して健康を守る力,個人の健康のみを守る力,専門家だけが持つ力,経済的な判断力,1,社会的ヘルスリテラシーは他者と協働し社会的に健康課題を解決する力である。,"ヘルスリテラシー,社会的支援,協働",3,,,,,
534,M03,M03U06,批判的ヘルスリテラシーの特徴として正しいのはどれか？,社会の仕組みや政策に働きかける力,流行を取り入れる力,感情で行動を決める力,他人に依存する力,1,批判的ヘルスリテラシーは社会の健康課題に対して主体的に考え行動する力である。,"ヘルスリテラシー,批判的思考,社会",3,,,,,
535,M03,M03U06,「ヘルスプロモーション」と関係が深い概念はどれか？,人々が健康を自ら管理し改善する考え方,医師主導の治療を進める考え方,健康を個人責任とみなす考え方,行政のみに依存する考え方,1,ヘルスプロモーションは人々が自ら健康を守り向上させる活動を促進する考え方である。,"ヘルスプロモーション,主体性,健康づくり",3,,,,,
536,M03,M03U06,意思決定・行動選択においてSNSが与える影響はどれか？,情報の拡散と誤情報のリスクの両方,必ず正確な情報を得られる,健康への影響はない,個人の判断を不要にする,1,SNSは便利な一方で誤情報も多く、批判的に利用する力が求められる。,"SNS,情報,影響",2,,,,,
537,M03,M03U06,情報を選ぶ際に「も」が意味するのはどれか？,元ネタは何か,目立つかどうか,モデルが出ているか,文字数が多いか,1,「か・ち・も・な・い」の「も」は情報の元ネタが信頼できるかを確認する視点を示す。,"情報判断,元ネタ,信頼性",3,,,,,
538,M03,M03U06,エビデンスに基づく保健活動の目的はどれか？,科学的根拠に基づいた効果的な健康づくり,感覚的に楽しい活動を行う,個人の好みに合わせる,短期間の成果を重視する,1,科学的根拠をもとに効果的で持続可能な保健活動を進めることが目的である。,"エビデンス,保健活動,効果",3,,,,,
539,M03,M03U06,行動変容を支える要素として正しいのはどれか？,自己効力感と社会的支援,気分と運,収入と地位,天候と環境音,1,行動を続けるためには自信（自己効力感）と周囲の支援が欠かせない。,"行動変容,自己効力感,社会的支援",2,,,,,
540,M03,M03U06,よりよい意思決定・行動選択を行うために重要な態度はどれか？,情報を批判的に読み取る姿勢,感情のままに判断する姿勢,流行を最優先にする姿勢,他人にすべて任せる姿勢,1,批判的思考をもって情報を吟味し、自分で判断する姿勢が求められる。,"態度,批判的思考,情報活用",1,,,,,