id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_environment
541,M03,M03U07,健康に関する環境づくりの目的はどれか？,人々の健康を保持増進するため,経済成長を促進するため,医療費を削減するため,娯楽を提供するため,1,健康的な生活を支える環境を整えることが健康づくりの目的である。,"目的,健康,環境",1,,,,,
542,M03,M03U07,健康の保持増進に関わる環境の例として正しいのはどれか？,運動施設や公園,テレビ番組,娯楽施設,インターネット広告,1,地域の運動施設や自然環境などが健康に関わる環境要因となる。,"環境要因,地域,運動",1,,,,,
543,M03,M03U07,環境による健康への影響を理解する上で重要な視点はどれか？,個人の生活習慣と社会的要因の両方,遺伝的要因のみ,経済的要因のみ,気候のみ,1,健康は個人の努力だけでなく社会環境などの要因にも影響される。,"SDH,社会,環境",1,,,,,
544,M03,M03U07,社会的つながりが健康に及ぼす影響として適切なのはどれか？,孤立を防ぎ心身の健康を支える,競争を促しストレスを増やす,経済的負担を増やす,運動量を減らす,1,地域や仲間とのつながりがあることで孤独感を減らし健康が保たれやすい。,"社会的支援,孤立,メンタルヘルス",2,,,,,
545,M03,M03U07,「健康に関する環境づくり」で行政の役割として適切なのはどれか？,地域の健康づくり施策を推進する,個人の生活を監視する,医師の治療方針を決める,民間企業の利益を優先する,1,行政は地域の環境整備や健康施策を通じて住民の健康を支える。,"行政,健康政策,地域",1,,,,,
546,M03,M03U07,ヘルスプロモーションとはどのような考え方か？,人々が自ら健康をコントロールできるようにする考え方,医師が健康を管理する考え方,病気を早期発見する考え方,健康食品を普及させる考え方,1,ヘルスプロモーションは健康を自分たちの力で高めるという主体的な考え方である。,"定義,主体性,ヘルスプロモーション",1,,,,,
547,M03,M03U07,WHOが1986年に発表したヘルスプロモーションの国際会議はどれか？,オタワ会議,ヘルシンキ会議,パリ会議,ロンドン会議,1,1986年のオタワ憲章でヘルスプロモーションの基本理念が示された。,"オタワ憲章,WHO,歴史",1,,,,,
548,M03,M03U07,ヘルスプロモーションの基本戦略の1つでないものはどれか？,個人の責任を追及すること,政策づくり,地域活動,支援的な環境づくり,1,ヘルスプロモーションは個人責任の追及ではなく環境支援と参加を重視する。,"戦略,支援,政策",2,,,,,
549,M03,M03U07,「支援的な環境づくり」とはどのような取り組みか？,誰もが健康的に生活しやすい環境を整えること,健康な人だけを優遇すること,個人の意思を尊重しないこと,競争的な社会をつくること,1,ヘルスプロモーションの柱の一つであり、すべての人にとって健康的な環境を整備する。,"支援環境,平等,健康社会",2,,,,,
550,M03,M03U07,地域のスポーツセンター設置などの事例が示す考え方はどれか？,健康づくりを地域全体で支える,競技者を育成する,娯楽を提供する,医療費を削減するための監視,1,地域ぐるみの取り組みは、住民の健康を支える環境づくりの実例である。,"地域活動,健康づくり,実例",2,,,,,
551,M03,M03U07,健康に影響を与える「社会的要因」の例として最も適切なのはどれか？,所得格差や教育水準,血液型,身長,天気,1,社会的要因には経済状況や教育などの格差が含まれ、健康に影響を与える。,"社会的要因,健康格差,SDH",1,,,,,
552,M03,M03U07,ヘルスプロモーションの目的として正しいのはどれか？,人々が自分の健康をよりよくコントロールできるようにする,病院の利用者を減らす,高齢者を介護施設に集める,薬を広める,1,ヘルスプロモーションは個人と社会が主体的に健康をつくることを目的とする。,"目的,主体性,健康増進",1,,,,,
553,M03,M03U07,従来の健康づくりとヘルスプロモーションの違いとして正しいのはどれか？,個人努力中心から社会的支援重視に変化した,医療中心から個人責任中心に変化した,健康管理から疾病治療に変化した,栄養重視から運動重視に変化した,1,ヘルスプロモーションは個人の努力だけでなく社会的な支援を重視している。,"比較,支援,社会",2,,,,,
554,M03,M03U07,ヘルスプロモーションの基本戦略に含まれないものはどれか？,企業利益の最大化,政策づくり,地域活動,健康教育,1,基本戦略は政策・地域・教育などの多面的な取り組みであるが、営利目的は含まれない。,"戦略,方針,政策",2,,,,,
555,M03,M03U07,ヘルスプロモーションの柱として正しいものはどれか？,支援的な環境づくり,医療費削減,薬物開発,医師主導の健康管理,1,支援的な環境づくりはヘルスプロモーションの中心的な柱の1つである。,"環境づくり,柱,健康支援",1,,,,,
556,M03,M03U07,住民一人ひとりが健康に暮らせるまちづくりを表す言葉はどれか？,ヘルシーシティ,メガシティ,スマートタウン,エコロジータウン,1,ヘルシーシティは健康的な都市づくりをめざす取り組みである。,"ヘルシーシティ,地域,健康都市",2,,,,,
557,M03,M03U07,日本の健康づくり施策で1988年に始まったのはどれか？,第2次国民健康づくり対策（アクティブ80ヘルスプラン）,健康日本21,国民皆保険制度,成人病対策基本法,1,第2次国民健康づくり対策は1988年に策定され、運動習慣の定着を重視した。,"政策,歴史,日本",2,,,,,
558,M03,M03U07,「健康日本21」が策定されたのはいつか？,2000年,1978年,1988年,2013年,1,2000年に始まった第3次国民健康づくり対策の基本方針である。,"健康日本21,政策,年号",1,,,,,
559,M03,M03U07,第4次国民健康づくり対策の名称はどれか？,健康日本21（第二次）,健康日本100,新健康プラン2020,国民健康プロジェクト,1,2013年に始まった第4次対策が健康日本21（第二次）である。,"健康政策,日本,年号",2,,,,,
560,M03,M03U07,「健康寿命」とはどのような指標か？,健康で自立して生活できる期間,平均余命から病気期間を引いた期間,介護が必要になるまでの年齢,寿命の中央値,1,健康寿命は介護を必要とせず自立した生活ができる期間を示す。,"健康寿命,指標,寿命",1,,,,,
561,M03,M03U07,ボランティア活動が健康に及ぼす影響として正しいものはどれか？,社会的つながりが増し心身の健康が保たれる,経済的負担が増える,ストレスが増加する,睡眠時間が減る,1,地域活動やボランティアは人との関係を広げ、心の健康を高める。,"社会参加,健康,幸福感",2,,,,,
562,M03,M03U07,健康の社会的決定要因（SDH）に関する説明で正しいのはどれか？,健康は社会の構造や仕組みに影響される,健康は遺伝だけで決まる,社会要因は健康と無関係,環境は個人の意志で変えられない,1,健康の差は社会的な構造や制度に起因するという考え方をSDHという。,"SDH,健康格差,社会構造",1,,,,,
563,M03,M03U07,健康格差の縮小を目指す取り組みとして適切なのはどれか？,誰もが利用できる医療や運動機会を整備する,所得の高い人を優先する,都市部だけを対象とする,個人の責任を強調する,1,健康格差の是正には、すべての人が健康的に暮らせる環境整備が必要である。,"格差是正,平等,支援",1,,,,,
564,M03,M03U07,ヘルスプロモーションの考え方を象徴する図で「坂を押す人」の例えが示すものはどれか？,個人の努力による健康づくり,社会全体の支援,医療技術の発展,経済活動の拡大,1,坂を押す図は個人の努力を象徴し、これを支援するのが社会的環境である。,"図解,例え,努力",2,,,,,
565,M03,M03U07,ヘルスプロモーションにおける「住民参加」が重要とされる理由はどれか？,地域の課題を自ら考え行動する力を育む,行政にすべて任せるため,個人責任を免れるため,医療費削減のため,1,住民が主体的に健康課題を解決することが地域力を高める。,"住民参加,主体性,地域力",1,,,,,
566,M03,M03U07,SDGsの目標のうち「すべての人に健康と福祉を」を表す番号はどれか？,3,4,5,10,1,SDGs目標3は「すべての人に健康と福祉を」を掲げている。,"SDGs,国際,健康",2,,,,,
567,M03,M03U07,健康的なまちづくりの国際的取り組みの例として適切なのはどれか？,ヘルシーシティ運動,グリーンリカバリー政策,グローバルエコ運動,クリーンエネルギー法,1,WHOが推進する健康的都市の国際ネットワークがヘルシーシティ運動である。,"国際,WHO,地域",2,,,,,
568,M03,M03U07,「ヘルスリテラシー」とはどのような力を指すか？,健康情報を理解し活用する力,英語を読む力,医療を専門的に学ぶ力,SNSを使う力,1,健康に関する情報を正しく理解・判断・活用する力をヘルスリテラシーという。,"ヘルスリテラシー,情報,判断力",1,,,,,
569,M03,M03U07,健康リテラシーを高める環境づくりとして適切なのはどれか？,信頼できる情報を入手できる仕組みを整える,広告を増やす,専門用語を多用する,個人に責任を押し付ける,1,健康情報を正確に得て判断できるよう支援する環境が求められる。,"リテラシー,支援環境,情報化社会",2,,,,,
570,M03,M03U07,「健康に関する環境づくり」が重視される背景として正しいのはどれか？,個人の生活習慣だけでは健康格差を是正できないため,医療技術が進んだため,人口減少が進んだため,娯楽の多様化のため,1,健康格差の是正には社会全体で支える環境づくりが不可欠である。,"背景,健康格差,社会構造",1,,,,,