id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_environment_and_social_participation
1351,M08,M08U05,健康づくりの考え方として最も適切なのはどれか？,個人の努力だけで健康を守ること,社会的・環境的要因も含めて健康を支えること,医療機関への受診回数を増やすこと,薬を常に携帯すること,2,健康づくりは個人の行動だけでなく社会環境の改善や支援を通じて進められる。,"健康づくり,環境,支援",1,,,,,
1352,M08,M08U05,ヘルスプロモーションの基本的な考え方として正しいのはどれか？,行政が健康政策を一方的に決定すること,人々が自らの健康をコントロールし改善できるようにすること,医療費を削減することを目的とすること,特定の病気だけを対象にすること,2,ヘルスプロモーションは人々が自ら健康を管理・改善できる力を高めることを目指す。,"ヘルスプロモーション,主体性,健康管理",1,,,,,
1353,M08,M08U05,ヘルスプロモーションの3つの柱に含まれないものはどれか？,政策づくり,地域活動の活性化,個人の責任追及,能力の向上,3,ヘルスプロモーションの柱は「政策づくり」「地域活動」「能力向上」である。,"ヘルスプロモーション,柱,政策",1,,,,,
1354,M08,M08U05,エンパワメントとは何を意味するか？,権限を与え自ら行動できる力を高めること,他人の意見に従うこと,他人の健康を管理すること,行政が管理すること,1,エンパワメントは人々が自らの生活や健康に関して主体的に行動できる力を育てることを指す。,"エンパワメント,主体性,支援",1,,,,,
1355,M08,M08U05,ヘルスリテラシーに関する説明として正しいのはどれか？,医療専門家のみが持つ知識のこと,健康に関する情報を理解し活用する力のこと,メディアの発信力を評価する力のこと,社会的地位を示す指標のこと,2,ヘルスリテラシーとは健康情報を理解し、自分や周囲の健康に生かす力をいう。,"ヘルスリテラシー,情報活用,健康教育",1,,,,,
1356,M08,M08U05,健康づくりとSDGsの関係として最も適切なのはどれか？,SDGsは環境問題だけを対象とする,健康づくりはSDGsの目標3「すべての人に健康を」に含まれる,SDGsは先進国のみが対象である,健康はSDGsの対象ではない,2,SDGs目標3は「すべての人に健康と福祉を」であり、ヘルスプロモーションの理念と重なる。,"SDGs,健康づくり,国際目標",2,,,,,
1357,M08,M08U05,ソーシャル・キャピタルとは何を指すか？,個人の資産や貯金のこと,社会の人間関係や信頼・つながりのこと,専門家の知識量のこと,国家の経済力のこと,2,ソーシャル・キャピタルは人と人との信頼やつながりといった社会的資源を意味する。,"ソーシャルキャピタル,信頼,社会関係",2,,,,,
1358,M08,M08U05,健康の社会的決定要因（SDH）に含まれるものはどれか？,遺伝的要因,社会的地位や教育・職業など,個人の好み,病院の数,2,健康の社会的決定要因（SDH）は所得・教育・職業など社会的環境の影響を指す。,"SDH,社会的要因,健康格差",2,,,,,
1359,M08,M08U05,「自然に健康になってしまう仕掛け（Nudge）」の例として適切なのはどれか？,階段を目立つ位置に設置すること,喫煙所を増やすこと,お菓子をレジ前に置くこと,照明を暗くすること,1,人の無意識な行動を利用し健康的な選択を促す仕組みをナッジという。,"ナッジ,行動科学,環境設計",3,,,,,
1360,M08,M08U05,健康づくりにおける多様な主体の協働が重視される理由はどれか？,行政のみで全ての健康課題を解決できるから,地域や企業、市民が連携して効果的な取り組みができるから,市民の意見を排除するため,専門家のみに任せるため,2,健康課題は多面的であるため、行政・企業・市民が協働して環境を改善することが重要である。,"協働,地域,健康政策",2,,,,,
1361,M08,M08U05,WHOが提唱したヘルスプロモーションの基本理念はどれか？,人々が自ら健康をコントロールできるようにすること,医療費の削減を最優先にすること,医師主導で健康を管理すること,特定の国だけを対象にすること,1,WHOはヘルスプロモーションを「人々が自ら健康をコントロールし改善できるようにする過程」と定義している。,"WHO,ヘルスプロモーション,理念",1,,,,,
1362,M08,M08U05,地域の健康課題を解決するために重要な取り組みはどれか？,住民の意見を排除する,地域全体で話し合い協働する,国の決定を待つ,個人が単独で活動する,2,地域の健康づくりは住民・行政・企業などが協力して進めることが大切である。,"地域,協働,健康課題",2,,,,,
1363,M08,M08U05,健康づくりにおける「政策づくり」で重視される視点はどれか？,短期的な成果を優先する,公平性と持続可能性を考慮する,経済効率のみを考える,特定の年齢層だけを対象にする,2,政策づくりでは健康格差を減らし持続可能な社会を目指す視点が求められる。,"政策,公平性,持続可能性",2,,,,,
1364,M08,M08U05,ヘルスリテラシーの向上によって期待される効果はどれか？,健康情報を自ら選び適切に活用できるようになる,他人の情報を鵜呑みにするようになる,医療機関の利用を控えるようになる,健康行動が減少する,1,ヘルスリテラシーの向上は情報を見極め自分に合った健康行動をとる力を高める。,"ヘルスリテラシー,情報選択,行動変容",1,,,,,
1365,M08,M08U05,ヘルスプロモーションとSDGsの共通点として正しいのはどれか？,どちらも健康を個人の責任とする,社会全体で健康と福祉を支えることを目指す,医療費の削減を目的とする,経済成長のみを目指す,2,ヘルスプロモーションとSDGsは共に「誰一人取り残さない社会づくり」を重視している。,"SDGs,ヘルスプロモーション,共通点",2,,,,,
1366,M08,M08U05,健康の社会的決定要因（SDH）の視点で最も重視されることはどれか？,個人の努力のみを評価する,社会的格差を是正し健康機会を平等にする,医療機関の数を減らす,病気の人を隔離する,2,SDHの視点では社会的格差を減らし誰もが健康でいられる社会環境を整えることが重要である。,"SDH,健康格差,平等",2,,,,,
1367,M08,M08U05,地域でのエンパワメント活動の例として最も適切なのはどれか？,住民が健康課題について話し合い行動を起こす,専門家だけで計画を立てる,行政が一方的に決定する,企業が利益を優先する,1,エンパワメント活動は住民が主体的に問題を共有し行動することを意味する。,"エンパワメント,地域,主体性",2,,,,,
1368,M08,M08U05,健康づくりのための「ナッジ（nudge）」の特徴はどれか？,強制ではなく自発的行動を促す,罰則によって行動を制限する,経済的支援に限定される,専門家だけが使える,1,ナッジは環境設計によって人々が自然に健康的な選択をするよう促す方法である。,"ナッジ,行動科学,環境",3,,,,,
1369,M08,M08U05,自治体・企業・市民が協働して行うまちづくりの効果はどれか？,健康格差の縮小や地域の活性化につながる,行政の負担が増大する,住民の意見が反映されにくくなる,短期的な経済効果だけが得られる,1,多様な主体が連携して健康環境を整えることで健康格差の縮小や地域の活性化が期待される。,"協働,地域,健康格差",3,,,,,
1370,M08,M08U05,健康に関する環境づくりにおける「EAST」のA（Attractive）とは何か？,魅力的に見えるよう工夫すること,高価な設備を導入すること,個人に強制すること,単に広告を増やすこと,1,EASTのAはAttractiveであり、人々が行動したくなるように魅力的に設計することを意味する。,"EAST,ナッジ,行動科学",3,,,,,
1371,M08,M08U05,EASTのT（Timely）が示す意味として正しいのはどれか？,行動のきっかけを適切なタイミングで与えること,人を強制的に動かすこと,遅らせて行動させること,時間を制限すること,1,TはTimelyで、行動の直前など最も効果的なタイミングで働きかけることを指す。,"EAST,タイミング,行動変容",3,,,,,
1372,M08,M08U05,ソーシャル・キャピタルを高める活動の例として適切なのはどれか？,地域でのボランティア活動や交流会の開催,個人で孤立して生活すること,情報を他人に隠すこと,他者とのつながりを避けること,1,人と人との信頼関係やつながりを育む活動がソーシャル・キャピタルを高める。,"ソーシャルキャピタル,地域活動,信頼",2,,,,,
1373,M08,M08U05,WHO特別委員会が示したSDHに関する3つの勧告に含まれるものはどれか？,権力や資源の不公平な分配への対処,個人の責任強化のみ,医療費削減の推進,企業優先の政策実施,1,WHOは健康格差の是正に向けて社会的・経済的な不平等への対処を求めている。,"WHO,SDH,勧告",3,,,,,
1374,M08,M08U05,健康の社会的決定要因に関する政策評価手法として適切なのはどれか？,健康影響評価（HIA）や健康格差評価（HEA）,世論調査,学校行事アンケート,単純な意識調査,1,HIAやHEAは政策が健康に与える影響を評価するための国際的手法である。,"SDH,政策評価,HIA",3,,,,,
1375,M08,M08U05,健康に関するエンパワメントの実現には何が必要か？,情報や機会への公平なアクセス,特定の人への優遇,権限を制限する仕組み,社会的支援を減らすこと,1,すべての人が必要な情報や支援を得られる環境がエンパワメントの基盤となる。,"エンパワメント,公平性,支援",2,,,,,
1376,M08,M08U05,健康づくりを支える教育として求められるのはどれか？,ヘルスリテラシーを育む学習,暗記中心の学習,医療用語の丸暗記,数値計算の訓練,1,健康教育では情報を理解し活用できるヘルスリテラシーの育成が重要である。,"健康教育,ヘルスリテラシー,教育",2,,,,,
1377,M08,M08U05,「誰もが健康に過ごせる社会づくり」に関して正しいのはどれか？,社会的弱者にも配慮した環境づくりが必要である,健康な人だけが支援対象である,高齢者を除外するべきである,個人主義を優先する,1,すべての人が健康でいられるように社会全体で支援する仕組みが必要である。,"健康格差,包摂,支援",2,,,,,
1378,M08,M08U05,健康づくりのための行動変容ステージに含まれないのはどれか？,熟考期,準備期,無関心期,達成期,4,行動変容ステージは無関心期→関心期→準備期→実行期→維持期で構成される。,"行動変容,ステージ,心理学",3,,,,,
1379,M08,M08U05,まちづくりにおける「TABLE FOR TWO」の特徴はどれか？,健康的な食事と途上国支援を両立する仕組み,食品ロスを増やす仕組み,高価な食材を提供する制度,輸入品を優先する制度,1,TABLE FOR TWOは健康的な食事提供と寄付を組み合わせた取り組みである。,"TABLEFORTWO,健康支援,国際協力",3,,,,,
1380,M08,M08U05,高校生として環境づくりに貢献できる行動として最も適切なのはどれか？,地域の清掃活動や健康イベントに参加する,SNSで誤情報を拡散する,他人の意見を無視する,公共の場を汚す,1,高校生も地域活動を通じて健康で安全な環境づくりに参加することができる。,"地域参加,高校生,環境づくり",3,,,,,