id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_life_stages_and_health
751,M05,M05U01,ライフステージとはどのようなものか？,人の一生をいくつかの段階に分けたもの,死亡率を示す統計のこと,年齢層ごとの職業のこと,成長の速さを表す指標,1,ライフステージは人生を出生から老年期までの段階に分けたものを指す。,"定義,発達段階,人生",1,,,,,
752,M05,M05U01,乳幼児期に特徴的な健康課題はどれか？,感染症や事故の予防,生活習慣病の管理,介護予防,メンタルヘルスの維持,1,乳幼児期は免疫機能が未発達で事故の危険も高いため、予防が重要である。,"乳幼児期,感染症,事故",1,,,,,
753,M05,M05U01,学童期に多くみられる健康課題はどれか？,虫歯や視力の低下,高血圧,骨粗しょう症,糖尿病,1,学童期は生活習慣や体の使い方の影響で虫歯や視力の低下が起こりやすい。,"学童期,生活習慣,発達",2,,,,,
754,M05,M05U01,思春期における特徴的な心身の変化はどれか？,第二次性徴の出現,骨の成長が止まる,免疫力が低下する,睡眠が極端に短くなる,1,思春期は第二次性徴が現れ、身体的・精神的に大きく変化する時期である。,"思春期,第二次性徴,心身発達",1,,,,,
755,M05,M05U01,成人期の健康課題として最も適切なのはどれか？,生活習慣病の予防,感染症の流行防止,運動習慣の形成,アレルギー対策,1,成人期は生活習慣病の発症リスクが高まり、予防行動が重要になる。,"成人期,生活習慣病,予防",1,,,,,
756,M05,M05U01,高齢期に増加する健康課題はどれか？,認知症や転倒,花粉症や風邪,発達障害や視覚異常,ストレスや不眠,1,高齢期では身体機能の低下により転倒や認知症のリスクが高まる。,"高齢期,加齢,認知症",1,,,,,
757,M05,M05U01,年齢階級別死亡率の特徴として正しいのはどれか？,高齢になるほど死亡率が高い,全年齢で同じ,10代が最も高い,乳児が最も低い,1,死亡率は加齢とともに高くなり、高齢者の割合が最も高い。,"死亡率,年齢階級,統計",2,,,,,
758,M05,M05U01,乳幼児期の死亡原因として多いものはどれか？,先天異常や周産期の疾患,がん,脳卒中,心筋梗塞,1,乳幼児期は生まれつきの病気や周産期の異常が死亡原因の上位である。,"乳幼児,死亡原因,統計",2,,,,,
759,M05,M05U01,中高年期における主な死亡原因はどれか？,がんや心疾患,事故,肺炎,自殺,1,中高年期では生活習慣病が関連するがんや心疾患が上位を占める。,"中年期,生活習慣病,死亡原因",1,,,,,
760,M05,M05U01,ライフステージごとの健康支援で重要な考え方はどれか？,発達段階に応じた支援,一律の支援,病気の治療に限定した支援,経済的支援のみ,1,年齢や発達に応じて健康課題が異なるため、段階に応じた支援が必要である。,"健康支援,発達段階,予防",1,,,,,
761,M05,M05U01,思春期の社会的発達の特徴として最も適切なのはどれか？,自我の確立が進む,体力が急速に低下する,職業に就く人が多い,老化が始まる,1,思春期は自己を見つめ直す時期であり、自我の確立が進む。,"思春期,心理発達,自我",2,,,,,
762,M05,M05U01,成人期の社会的特徴として正しいのはどれか？,職業や家庭を持つ人が多く社会的責任が増す,学校生活を送る時期,身体が急速に成長する時期,依存関係が強い時期,1,成人期は社会的・経済的な役割を担う責任の大きい時期である。,"成人期,社会的役割,責任",2,,,,,
763,M05,M05U01,高齢期の生活支援として適切なのはどれか？,介護や地域での支援,通学支援,就労支援,予防接種の促進,1,高齢期には介護サービスや地域での支え合いが重要である。,"高齢期,社会支援,介護",2,,,,,
764,M05,M05U01,学童期における健康支援として適切なのはどれか？,定期的な健康診断と生活習慣の確立,生活習慣病の治療,介護予防の指導,出産準備教育,1,学童期は生活習慣を身につける時期であり、健康診断で早期発見が重要である。,"学童期,健康教育,生活習慣",1,,,,,
765,M05,M05U01,乳幼児期の社会的支援の例として適切なのはどれか？,母子保健や予防接種,職業訓練,高齢者教室,ストレス対処講座,1,乳幼児期には母子保健制度や予防接種など社会全体で支える仕組みがある。,"乳幼児,社会支援,母子保健",2,,,,,
766,M05,M05U01,思春期に多くみられる心の健康課題はどれか？,自己肯定感の低下やストレス,認知症,生活習慣病,慢性腰痛,1,思春期は他者との比較や進路の悩みでストレスを感じやすい。,"思春期,メンタルヘルス,ストレス",2,,,,,
767,M05,M05U01,青年期の特徴として正しいのはどれか？,自己の生き方を模索する時期,身体的成長が止まる時期,家庭を持つ人が多い時期,退職を迎える時期,1,青年期は進路や価値観を考えながら自分の生き方を形成する時期である。,"青年期,自己形成,発達段階",2,,,,,
768,M05,M05U01,中年期の健康課題で重要なのはどれか？,生活習慣病の予防やストレス管理,感染症対策,免疫力の発達,骨格形成,1,中年期は生活習慣病や仕事・家庭のストレスが健康に影響しやすい。,"中年期,ストレス,生活習慣病",1,,,,,
769,M05,M05U01,老年期の健康づくりで重視されることはどれか？,社会参加や生きがいづくり,体格を大きくすること,学力向上,職業訓練,1,高齢期は身体機能を維持しながら社会的つながりを持つことが健康維持に役立つ。,"老年期,健康寿命,社会参加",1,,,,,
770,M05,M05U01,日本の平均寿命について正しいのはどれか？,女性が男性より長い,男女とも同じ,男性が女性より長い,年々短くなっている,1,日本では女性の平均寿命が男性より長い傾向にある。,"平均寿命,統計,男女差",1,,,,,
771,M05,M05U01,死因の第1位として最も多いのはどれか？,がん,自殺,脳卒中,事故,1,日本の主要死因の第1位はがんであり、生活習慣との関係が深い。,"死因,がん,生活習慣病",1,,,,,
772,M05,M05U01,乳児死亡率の改善に貢献した要因はどれか？,医療技術の進歩や保健制度の充実,運動習慣の増加,出生率の低下,住宅の増加,1,医療の進歩や母子保健の充実により乳児死亡率は大きく減少した。,"乳児死亡率,医療,公衆衛生",2,,,,,
773,M05,M05U01,思春期における性教育の目的はどれか？,自他の尊重と責任ある行動を学ぶ,出生率を上げる,結婚を早める,性行為を禁止する,1,性教育は思春期の健全な人間関係づくりと責任ある行動を学ぶことを目的とする。,"性教育,思春期,人間関係",2,,,,,
774,M05,M05U01,成人期における社会的支援として適切なのはどれか？,職場の健康管理やストレス対策,母子保健事業,学校保健活動,介護予防教室,1,成人期は職場での健康支援やメンタルヘルス対策が重要である。,"成人期,職場,健康支援",2,,,,,
775,M05,M05U01,高齢期の死亡原因として最も多いのはどれか？,がん,事故,インフルエンザ,結核,1,高齢期ではがんや心疾患などの生活習慣病が上位を占める。,"高齢期,死因,生活習慣病",1,,,,,
776,M05,M05U01,「健康寿命」とは何を意味するか？,健康に生活できる期間,平均寿命から余命を引いた年数,運動できる期間,医療費がかからない期間,1,健康寿命は自立して生活できる期間を示し、延伸が目標とされている。,"健康寿命,生活の質,QOL",1,,,,,
777,M05,M05U01,青年期の支援で重視されることはどれか？,進路や人間関係に関する相談体制,介護保険の利用,予防接種の義務化,住宅支援,1,青年期は進路や人間関係の悩みを支援する体制が重要である。,"青年期,支援,相談",2,,,,,
778,M05,M05U01,各ライフステージにおける健康課題を考える目的はどれか？,自分や他者の健康をよりよく保つため,疾病を完全に防ぐため,年齢を早く進めるため,社会的地位を上げるため,1,ライフステージごとに健康課題を理解することで予防意識が高まる。,"健康教育,発達段階,予防",1,,,,,
779,M05,M05U01,高齢化社会に対応するために必要なことはどれか？,地域での支え合いや介護体制の整備,出生率の低下促進,輸出の増加,都市への集中,1,高齢化が進む社会では地域の連携と支援体制の整備が重要である。,"高齢化,地域社会,介護",2,,,,,
780,M05,M05U01,ライフステージにおける社会的支援の意義はどれか？,誰もが健康に生きるために社会全体で支えること,経済的格差を広げること,個人の責任を強調すること,医療費を減らすことのみを目的とする,1,社会的支援はすべての人の健康を保障するための基盤である。,"社会的支援,健康権,共生",1,,,,,