id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_mental_disorders_recovery
391,M03,M03U02,精神疾患の治療における専門家の役割はどれか？,精神科医による診断と治療,家族による生活支援,教師による指導,友人による相談,1,精神科医は薬物療法や精神療法など専門的な治療を行う。,"専門家,治療,精神科",1,,,,,
392,M03,M03U02,カウンセリングの目的として正しいのはどれか？,悩みを共有し自己理解を深める,他人の行動を指摘する,精神薬を処方する,ストレスを抑圧する,1,カウンセリングは対話を通じて悩みの整理や自己理解を促す心理的支援である。,"カウンセリング,支援,心理",1,,,,,
393,M03,M03U02,精神疾患の治療で用いられる薬の働きとして正しいのはどれか？,神経伝達のバランスを整える,筋肉の成長を促す,血圧を上げる,体温を下げる,1,薬物療法では神経伝達物質の働きを調整し、症状を改善する。,"薬物療法,神経伝達,治療",1,,,,,
394,M03,M03U02,地域におけるケアの特徴として正しいのはどれか？,病院だけでなく地域全体で支える,医師だけが対応する,患者は隔離される,家族のみが支援する,1,地域ケアは病院外でも支援体制を整え、生活の場で回復を支える取り組みである。,"地域ケア,支援,社会資源",1,,,,,
395,M03,M03U02,デイケアの目的として適切なのはどれか？,社会生活への復帰を支援する,薬の副作用を調べる,新しい治療法を研究する,睡眠時間を管理する,1,デイケアは通所を通して生活リズムの改善や社会復帰を支援する活動である。,"デイケア,社会復帰,支援",2,,,,,
396,M03,M03U02,リワーク支援とはどのような支援か？,職場復帰を支援するプログラム,家族関係の修復を目的とする支援,睡眠障害の治療,身体機能の訓練,1,リワーク支援はうつ病などで休職した人の職場復帰を支援する取組である。,"リワーク,職場復帰,支援",2,,,,,
397,M03,M03U02,ピアサポートの特徴として正しいのはどれか？,同じ経験をもつ人同士が支え合う,専門家が一方的に助言する,親が子を指導する,企業が社員を監督する,1,ピアサポートは当事者同士が互いの経験を共有し支え合う活動である。,"ピアサポート,当事者,支援",2,,,,,
398,M03,M03U02,精神疾患からの回復過程で重要とされる支援はどれか？,医療・福祉・地域が連携する支援,本人のみの努力,家族だけの支援,薬だけに頼る治療,1,回復には医療・福祉・地域などが連携した包括的支援が重要である。,"回復支援,連携,包括ケア",1,,,,,
399,M03,M03U02,精神疾患の早期発見のメリットとして正しいのはどれか？,再発のリスクを減らせる,入院期間が長くなる,症状が悪化しやすい,治療が難しくなる,1,早期発見により適切な治療が早く行われ、再発や悪化の防止につながる。,"早期発見,再発予防,治療",2,,,,,
400,M03,M03U02,精神疾患に対する偏見を減らすために必要なことはどれか？,正しい知識と理解を広める,患者を隔離する,SNSで噂を共有する,精神疾患を隠す,1,偏見をなくすには正しい知識をもとに理解を広げることが大切である。,"偏見,理解,啓発",3,,,,,
401,M03,M03U02,ストレスケアで重要とされる考え方はどれか？,問題への対処と感情の整理,感情を抑え続ける,他人の行動を批判する,仕事を増やす,1,ストレスケアでは問題解決と感情の整理を通じて心の安定を図ることが大切である。,"ストレス,ケア,対処",2,,,,,
402,M03,M03U02,うつ病の症状として正しいものはどれか？,意欲の低下や眠れない状態,体重の増加と活力の上昇,集中力の向上,社交性の増加,1,うつ病では気分の落ち込みや意欲低下、睡眠障害などがみられる。,"うつ病,症状,精神疾患",1,,,,,
403,M03,M03U02,パニック障害の特徴として適切なのはどれか？,突然の強い不安や動悸が起こる,慢性的な睡眠不足が続く,体が硬直して動けない,記憶がなくなる,1,パニック障害は突発的な不安発作が特徴で、動悸や息苦しさが生じる。,"パニック障害,症状,不安",2,,,,,
404,M03,M03U02,統合失調症の症状として正しいものはどれか？,幻覚や妄想が生じる,食欲が増える,不眠が続く,体温が上がる,1,統合失調症では現実の認識が乱れ、幻覚や妄想などの症状が見られる。,"統合失調症,症状,精神疾患",1,,,,,
405,M03,M03U02,精神疾患の治療で行われるリハビリテーションの目的はどれか？,社会生活の再構築,薬の副作用を調べる,家族関係を断つ,記憶力を試す,1,リハビリテーションは社会生活を再び送れるように支援するために行う。,"リハビリ,社会生活,回復",2,,,,,
406,M03,M03U02,心の健康づくりにおいて大切な姿勢はどれか？,自分を大切にし他者を尊重する,常に我慢をする,問題を放置する,他人に頼らない,1,自己理解と他者への思いやりをもつことが心の健康づくりにつながる。,"心の健康,自己理解,尊重",1,,,,,
407,M03,M03U02,地域社会の役割として適切なのはどれか？,回復後の生活を支援する,病気を隠すよう促す,医療を拒否させる,家族だけで支える,1,地域社会は回復後の生活支援や社会参加を促す重要な役割を担う。,"地域社会,支援,社会参加",1,,,,,
408,M03,M03U02,家族が果たす支援として望ましいのはどれか？,本人を理解し寄り添う,強く叱責して変化を促す,常に監視する,病気を話題にしない,1,家族は本人の立場を理解し、安心して相談できる環境を整えることが大切である。,"家族支援,理解,共感",2,,,,,
409,M03,M03U02,社会的スティグマとは何を指すか？,病気を持つ人への偏見や差別,治療にかかる費用,医療制度の仕組み,健康保険証の管理,1,スティグマとは病気を理由とした差別や偏見のことで、回復の妨げとなる。,"スティグマ,偏見,差別",3,,,,,
410,M03,M03U02,精神疾患に関する正しい理解を広めるために必要な活動はどれか？,啓発活動,監視活動,隔離活動,宣伝活動,1,社会全体で正しい知識と理解を広める啓発活動が求められる。,"啓発,教育,理解",3,,,,,
411,M03,M03U02,地域における包括的ケアの目的はどれか？,医療・福祉・地域が連携して支援する,病気のある人を隔離する,専門家だけで支える,家族だけが支援する,1,包括的ケアは多職種・地域の連携により生活全体を支えることを目的とする。,"包括ケア,連携,地域",1,,,,,
412,M03,M03U02,精神疾患の再発を防ぐために大切なのはどれか？,規則正しい生活を保つ,薬を自己判断で中止する,治療を拒否する,相談を避ける,1,再発予防には規則的な生活リズムを維持し、相談できる環境が重要である。,"再発予防,生活習慣,相談",2,,,,,
413,M03,M03U02,医療機関以外での支援の場として適切なのはどれか？,地域生活支援センター,刑務所,商業施設,職業訓練校のみ,1,地域生活支援センターでは生活相談や就労支援などを行う。,"地域支援,センター,生活相談",2,,,,,
414,M03,M03U02,精神疾患からの回復における「当事者の力」とはどれか？,自らの経験をもとに支え合う力,他人を支配する力,問題を避ける力,専門家を批判する力,1,当事者の経験を生かして他者と支え合うことが回復の一歩になる。,"当事者,経験,回復",2,,,,,
415,M03,M03U02,支援の過程で信頼関係を築くために大切なことはどれか？,相手の話をよく聴く,指示だけを出す,結果を急ぐ,感情を無視する,1,傾聴によって信頼関係を築くことが支援の基本となる。,"信頼関係,傾聴,支援",1,,,,,
416,M03,M03U02,学校における心のケアで大切なことはどれか？,スクールカウンセラーに相談する,成績を上げることを優先する,病気を隠すようにする,友人との関係を断つ,1,学校ではスクールカウンセラーなど専門家への相談が有効である。,"学校,相談,心のケア",2,,,,,
417,M03,M03U02,相談をためらう人に対して適切な行動はどれか？,安心して話せる環境をつくる,強制的に話させる,放置する,周囲に広める,1,安心して話せる場を整えることが支援の第一歩となる。,"相談支援,環境,傾聴",2,,,,,
418,M03,M03U02,精神疾患の治療を受けるきっかけとして多いのはどれか？,家族や周囲の勧め,本人の自覚なしに受診,検診で発見される,偶然の通院,1,周囲の勧めや助言によって治療につながることが多い。,"受診,家族,支援",2,,,,,
419,M03,M03U02,社会復帰を支援する仕組みとして正しいものはどれか？,就労支援,休養指導,服薬指導のみ,運動療法のみ,1,就労支援は社会復帰を支える重要な支援制度である。,"就労支援,社会復帰,支援",2,,,,,
420,M03,M03U02,精神疾患からの回復で「支え合う社会」が目指す姿はどれか？,誰もが安心して生活できる地域社会,病気を持つ人を排除する社会,医療だけに頼る社会,競争を強める社会,1,支え合う社会とは、病気の有無にかかわらず誰もが安心して暮らせる地域社会である。,"支え合い,地域社会,共生",3,,,,,