id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_middle_and_older_adulthood_health
931,M06,M06U02,中高年期における身体的な特徴として正しいものはどれか？,基礎代謝量が低下し筋力が衰える,視力や聴力が向上する,内臓の働きが活発になる,ホルモン分泌が増加する,1,中高年期になると加齢により筋力や代謝が低下し、生活習慣病のリスクが高まる。,"加齢変化,体力,代謝",1,,,,,
932,M06,M06U02,中高年期の心理的変化として適切なのはどれか？,将来への不安や喪失感を感じることがある,注意力が著しく高まる,学習意欲が低下しなくなる,過去を振り返らなくなる,1,中高年期では家庭や職業などの変化により心理的ストレスが増すが、経験による対処力も高まる。,"心理変化,ストレス,適応",1,,,,,
933,M06,M06U02,中高年期の健康を左右する要因として最も関係が深いものはどれか？,生活習慣,血液型,出生地,性別,1,食習慣・運動・睡眠などの生活習慣が中高年期の健康維持に大きく影響する。,"生活習慣,健康要因,予防",1,,,,,
934,M06,M06U02,フレイルとはどのような状態か？,加齢により心身の活力が低下した状態,精神的に非常に安定した状態,体重が増加している状態,感染症に強くなった状態,1,フレイルは虚弱とも呼ばれ、加齢や疾患によって心身の活力が低下した状態を指す。,"フレイル,加齢,虚弱",1,,,,,
935,M06,M06U02,中高年期に増加する疾患として正しいものはどれか？,高血圧や糖尿病,麻疹や風疹,骨折や虫歯,喘息や花粉症,1,生活習慣病である高血圧・糖尿病・脂質異常症などが中高年期に多くみられる。,"生活習慣病,疾病,加齢",1,,,,,
936,M06,M06U02,高齢者の健康支援で重要な考え方はどれか？,自立とQOLの向上,医療依存の拡大,介護サービスの制限,家族による完全な介助,1,高齢者自身の自立を支援し、生活の質（QOL）を高めることが健康支援の目的である。,"QOL,自立支援,介護",1,,,,,
937,M06,M06U02,介護保険制度の特徴として正しいものはどれか？,40歳以上の人が保険料を負担する,20歳以上の全員が加入する,任意で加入する制度である,医療保険と同じ仕組みである,1,介護保険制度は40歳以上の国民が加入し、要介護者の生活支援を目的とする社会保障制度である。,"介護保険,社会保障,支援制度",2,,,,,
938,M06,M06U02,リハビリテーションの目的として適切なのはどれか？,失われた機能の回復と社会復帰の支援,病気の完全な治癒,新しい病気の予防,高齢者の活動制限,1,リハビリテーションは身体機能の回復や社会的自立を支援することを目的とする。,"リハビリ,社会復帰,自立",2,,,,,
939,M06,M06U02,ユニバーサルデザインの目的として正しいものはどれか？,すべての人が使いやすいように設計する,高齢者専用の環境をつくる,障害のある人だけを対象とする,特定の施設に限定して導入する,1,ユニバーサルデザインは年齢や障害の有無に関わらず誰もが利用しやすい設計を目指す考え方である。,"ユニバーサルデザイン,共生社会,環境整備",2,,,,,
940,M06,M06U02,中高年期の健康づくりで大切な視点はどれか？,生涯を通じた健康管理,若年期のみの健康重視,医療機関に完全に依存する,家族の支援を避ける,1,中高年期の健康は若い頃からの生活習慣の積み重ねが大きく影響するため、生涯的視点で管理することが重要である。,"生涯発達,健康管理,予防",2,,,,,
941,M06,M06U02,加齢に伴い低下しやすい体の機能はどれか？,筋力や感覚機能,身長や体重,骨格構造,肺胞の数,1,加齢により筋力や感覚器官の働きが低下し、転倒やけがのリスクが高まる。,"加齢,身体機能,予防",1,,,,,
942,M06,M06U02,中高年期の体力低下に影響を与える生活習慣はどれか？,運動不足や睡眠不足,早寝早起き,定期的な運動,バランスのとれた食事,1,運動不足や睡眠不足などの生活習慣の乱れが体力の低下を招く。,"生活習慣,運動,体力",1,,,,,
943,M06,M06U02,加齢による筋力や持久力の変化として正しいものはどれか？,20歳前後をピークに徐々に低下する,40歳以降に急激に増加する,60歳で最も高くなる,男女差は全くない,1,筋力や持久力は20歳前後をピークに加齢とともに緩やかに低下していく。,"体力,加齢変化,筋力",1,,,,,
944,M06,M06U02,中高年期に起こりやすい骨の変化はどれか？,骨量の減少や骨粗しょう症,骨が急激に成長する,骨密度が上昇する,骨折しにくくなる,1,骨量は加齢により減少し、特に女性では閉経後に骨粗しょう症のリスクが高まる。,"骨粗しょう症,加齢,生活習慣病",1,,,,,
945,M06,M06U02,高齢期の転倒リスクを高める要因として正しいものはどれか？,筋力や平衡感覚の低下,視力や聴力の向上,睡眠時間の増加,体重の増加,1,加齢により筋力や平衡感覚が低下することで転倒・骨折などの事故が起きやすくなる。,"転倒,筋力,予防",1,,,,,
946,M06,M06U02,中高年期におけるストレスの主な要因として最も適切なのはどれか？,家庭や職場での役割変化,新しい趣味の発見,運動習慣の定着,旅行の計画,1,中高年期は職場での地位や家庭環境の変化により心理的ストレスが増えやすい。,"ストレス,心理変化,職場",2,,,,,
947,M06,M06U02,フレイルの予防に有効な行動として正しいものはどれか？,適度な運動とバランスのよい食事,活動を減らして休む,水分摂取を控える,外出を避ける,1,フレイル予防には運動・食事・社会的つながりの維持が重要である。,"フレイル,予防,運動",1,,,,,
948,M06,M06U02,高齢者に対するリハビリテーションの目的はどれか？,残された機能の維持と自立支援,完全治癒をめざす治療,他者への依存促進,入院期間の延長,1,リハビリは機能回復だけでなく、社会参加や自立生活の維持を目的として行われる。,"リハビリ,自立支援,社会参加",2,,,,,
949,M06,M06U02,介護予防の観点から重要なのはどれか？,心身の虚弱化を早期に防ぐこと,要介護状態になるまで待つこと,高齢者を介助に依存させること,医療機関のみで支援すること,1,介護予防ではフレイルや運動機能低下を早期に防ぐことが重視される。,"介護予防,フレイル,健康寿命",2,,,,,
950,M06,M06U02,QOL（生活の質）を高めるために大切な視点はどれか？,身体面・心理面・社会面の調和,経済面だけを重視する,医療機関に完全に依存する,他者との関わりを避ける,1,QOLは身体的・精神的・社会的な側面のバランスが取れていることを指す。,"QOL,健康支援,社会面",1,,,,,
951,M06,M06U02,ユニバーサルデザインの考え方として適切なのはどれか？,誰もが使いやすいように最初から設計する,利用者の苦情が出てから改修する,障害者専用の設備を設ける,高齢者向け施設のみに導入する,1,ユニバーサルデザインは誰もが利用しやすい環境を最初から設計段階で整える考え方である。,"ユニバーサルデザイン,共生社会,設計",2,,,,,
952,M06,M06U02,社会的つながりが健康に与える影響として正しいものはどれか？,孤立は死亡リスクを高める,孤立すると健康寿命が延びる,友人関係は健康に関係しない,社会参加はストレスを増加させる,1,社会的孤立は心身の健康悪化や死亡リスクの上昇と関連している。,"社会関係,孤立,健康寿命",2,,,,,
953,M06,M06U02,ソーシャルサポートとはどのようなものか？,他者から受ける支援や助け,経済的な自己管理,社会制度の強制,医療機関のサービス,1,ソーシャルサポートは家族や地域などから得られる心理的・実際的な支援を指す。,"ソーシャルサポート,支援,社会関係",2,,,,,
954,M06,M06U02,サクセスフル・エイジングの条件として適切なのはどれか？,心身の健康維持と社会的な活動参加,仕事から完全に離れること,年齢に応じて孤立すること,支援を拒否して自立すること,1,成功的老い（サクセスフル・エイジング）は身体・心理・社会面の健康的老化をめざす考え方。,"サクセスフルエイジング,老化,健康",3,,,,,
955,M06,M06U02,ライフコースアプローチの考え方として正しいものはどれか？,人生全体を通して健康を捉える,老年期のみを重視する,病気になった時点のみ考える,短期的な健康改善に限る,1,ライフコースアプローチは子ども期から高齢期までの健康を生涯的に捉える考え方である。,"ライフコース,健康発達,生涯",3,,,,,
956,M06,M06U02,認知機能の低下を防ぐ生活習慣として適切なのはどれか？,社会活動や学習を継続する,人との関わりを避ける,外出を控える,過度な飲酒を続ける,1,社会参加や学習などの知的活動が認知機能低下の予防に有効である。,"認知症,予防,社会参加",2,,,,,
957,M06,M06U02,加齢により起こる免疫機能の変化として正しいものはどれか？,感染症にかかりやすくなる,免疫力が著しく上昇する,ワクチンが不要になる,花粉症がなくなる,1,加齢により免疫機能が低下し、感染症への抵抗力が弱まる。,"免疫,加齢変化,感染症",2,,,,,
958,M06,M06U02,健康寿命を延ばすために重要な行動はどれか？,定期的な運動と社会参加,睡眠時間を極端に減らす,他者との交流を避ける,医療に頼りきる,1,健康寿命を延ばすには身体的活動と社会的つながりの両立が重要である。,"健康寿命,予防,社会参加",1,,,,,
959,M06,M06U02,高齢者を支える社会の仕組みとして正しいものはどれか？,保健・医療・福祉が連携して支援する,医療だけが中心になる,介護施設のみが担当する,家族のみに任せる,1,地域包括ケアシステムでは保健・医療・福祉の連携により高齢者を支援する。,"地域包括ケア,保健医療福祉,支援体制",1,,,,,
960,M06,M06U02,中高年期の健康維持において自己管理が重要な理由はどれか？,主体的に生活習慣を調整できるから,他人任せにすると健康が改善するから,医療機関にすべてを依存するから,年齢を重ねると不要になるから,1,自己管理によって食事・運動・休養をバランスよく調整し、生活習慣病やフレイルを防げる。,"自己管理,生活習慣,健康維持",1,,,,,