id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_nutrition_and_health
181,M02,M02U01,健康的な食生活とはどのような生活か？,心身の健康を保つために栄養バランスのとれた食事を続ける生活,摂取カロリーを極端に減らす生活,好きなものだけを食べる生活,サプリメントだけで栄養をとる生活,1,健康的な食生活とは、体に必要な栄養素をバランスよくとり、心身の健康を維持する生活を指す。,"定義,栄養バランス,健康",1,,,,,
182,M02,M02U01,エネルギーを過剰にとり続けるとどのような影響があるか？,肥満や生活習慣病の原因になる,集中力が上がる,免疫力が必ず高まる,体温が下がる,1,過剰なエネルギー摂取は肥満や糖尿病、高血圧などの生活習慣病を引き起こす要因となる。,"肥満,生活習慣病,エネルギー",1,,,,,
183,M02,M02U01,エネルギーが不足すると起こるおもな問題はどれか？,体力低下や月経不順,肥満や糖尿病,血圧上昇や動脈硬化,肝臓への脂肪蓄積,1,エネルギー不足は体力低下や貧血、月経不順などの健康障害をもたらす。,"栄養不足,体力,月経不順",1,,,,,
184,M02,M02U01,メタボリックシンドロームの特徴として正しいのはどれか？,内臓脂肪型肥満と生活習慣病のリスクを併せ持つ,体重が少なすぎる,骨密度が低い,エネルギー不足である,1,メタボリックシンドロームは、内臓脂肪の蓄積と高血圧・高血糖・脂質異常が重なる状態をいう。,"メタボリックシンドローム,生活習慣病,肥満",1,,,,,
185,M02,M02U01,健康によい食事の基本はどれか？,主食・主菜・副菜をそろえること,肉類を中心に摂取すること,甘いものを避けること,夜だけ食べること,1,健康によい食事は、主食・主菜・副菜をそろえて栄養のバランスをとることが基本である。,"食事バランス,主食,主菜",1,,,,,
186,M02,M02U01,食事バランスガイドのコマの形は何を意味しているか？,運動と食事のバランスの大切さ,食べ物の密度,栄養素の吸収速度,食事のカロリー,1,食事バランスガイドのコマは、食事と運動のバランスの重要性を表している。,"食事バランスガイド,運動,栄養教育",2,,,,,
187,M02,M02U01,3・1・2弁当法で「3」は何を表しているか？,主食,主菜,副菜,汁物,1,3・1・2弁当法の「3」は主食を表しており、主菜1・副菜2の割合で弁当を構成する。,"3・1・2弁当法,主食,食事構成",2,,,,,
188,M02,M02U01,生活リズムと食事の関係について正しいのはどれか？,規則正しい食事は体内リズムを整える,食事の時間は毎日変えたほうがよい,朝食を抜くと集中力が上がる,夜食を多くとると眠りやすくなる,1,生活リズムを整えた規則的な食事は、体内時計や代謝のバランスを保つのに役立つ。,"生活リズム,朝食,体内時計",1,,,,,
189,M02,M02U01,朝食をとることの主な意義はどれか？,体温と代謝を上げ、活動の準備をする,睡眠の質を下げる,空腹感をなくすだけ,昼食を減らすため,1,朝食は体温や代謝を上げ、脳や体を活動モードに切り替える役割をもつ。,"朝食,代謝,生活習慣",1,,,,,
190,M02,M02U01,食品を選ぶ際に重視すべき点として最も適切なのはどれか？,栄養バランスや表示内容を確認する,値段だけで選ぶ,見た目がきれいなものを選ぶ,賞味期限の長さだけを見る,1,健康的な食生活のためには、栄養成分表示やバランスを考慮して食品を選ぶことが重要である。,"食品選択,栄養表示,バランス",2,,,,,
191,M02,M02U01,栄養素のうちエネルギー源となるものはどれか？,たんぱく質・脂質・炭水化物,ビタミン・ミネラル・水,食物繊維・カルシウム・鉄,ナトリウム・カリウム・リン,1,三大栄養素であるたんぱく質・脂質・炭水化物は、体のエネルギー源となる。,"栄養素,エネルギー,三大栄養素",1,,,,,
192,M02,M02U01,カルシウムの主な働きとして正しいのはどれか？,骨や歯をつくる,エネルギーを産生する,体温を下げる,味覚を感じる,1,カルシウムは骨や歯の形成に必要なミネラルであり、神経や筋肉の働きにも関係する。,"カルシウム,骨,ミネラル",1,,,,,
193,M02,M02U01,鉄が不足すると起こりやすいのはどれか？,貧血,肥満,高血圧,骨粗しょう症,1,鉄は血液中のヘモグロビンを構成し、不足すると酸素運搬が低下して貧血を起こす。,"鉄,貧血,血液",1,,,,,
194,M02,M02U01,ビタミンCの主な働きはどれか？,免疫機能を高める,骨を強くする,血圧を下げる,脂肪を蓄える,1,ビタミンCは抗酸化作用をもち、免疫機能を高めるはたらきがある。,"ビタミンC,免疫,抗酸化",2,,,,,
195,M02,M02U01,メタボリックシンドロームの診断基準に含まれるものはどれか？,腹囲,視力,体温,握力,1,メタボリックシンドロームは内臓脂肪の蓄積を評価するために腹囲を測定する。,"メタボリックシンドローム,腹囲,診断基準",2,,,,,
196,M02,M02U01,朝食を抜く生活が続くとどのような影響があるか？,集中力や体温の低下,体重の安定,代謝の向上,疲労の回復,1,朝食をとらない生活は体温や集中力の低下を招き、生活リズムを乱す。,"朝食,生活リズム,集中力",1,,,,,
197,M02,M02U01,日本の食生活の変化として正しいのはどれか？,脂質の摂取が増加した,穀類中心の食事が増えた,総摂取エネルギーが増加し続けている,食物繊維の摂取量が増えている,1,戦後の食生活では脂質の摂取量が増え、西洋化が進んでいる。,"食生活,脂質,食文化",2,,,,,
198,M02,M02U01,過剰な塩分摂取が招くおそれのある疾患はどれか？,高血圧,低血糖,貧血,骨折,1,塩分をとりすぎると血圧が上昇し、高血圧や動脈硬化の原因となる。,"塩分,高血圧,動脈硬化",1,,,,,
199,M02,M02U01,やせすぎによる健康問題として誤っているのはどれか？,骨粗しょう症になりやすい,月経不順を起こしやすい,筋肉量が増える,免疫力が低下する,3,やせすぎは体力や免疫力の低下、月経不順などを引き起こすが筋肉量は減少する。,"やせ,体力低下,月経不順",1,,,,,
200,M02,M02U01,サプリメントの利用に関して正しいのはどれか？,不足する栄養素を補う補助的手段である,医薬品と同じ効能をもつ,食事の代替になる,摂取量は多いほどよい,1,サプリメントはあくまで補助的なもので、食事の代わりにはならない。,"サプリメント,栄養補助,注意点",2,,,,,
201,M02,M02U01,食事バランスガイドで「主菜」にあたるものはどれか？,肉や魚,ごはん,野菜,くだもの,1,主菜はたんぱく質を多く含む肉・魚・卵・大豆製品などを指す。,"主菜,たんぱく質,食事構成",1,,,,,
202,M02,M02U01,食事バランスガイドで「副菜」にあたるものはどれか？,野菜料理,ごはん,肉料理,果物,1,副菜はビタミン・ミネラル・食物繊維を多く含む野菜料理などが該当する。,"副菜,ビタミン,食物繊維",1,,,,,
203,M02,M02U01,フードロスとは何を指すか？,本来食べられるのに捨てられている食品,加工食品の価格高騰,食品偽装問題,輸入食品の増加,1,フードロスは、本来食べられるのに廃棄されてしまう食品を指す。,"フードロス,環境,SDGs",2,,,,,
204,M02,M02U01,SDGsと食生活に関係する目標として適切なのはどれか？,すべての人に健康と福祉を,海の豊かさを守ろう,平和と公正をすべての人に,ジェンダー平等を実現しよう,1,「すべての人に健康と福祉を」は健康的な食生活の確保とも関連するSDGs目標である。,"SDGs,健康,食生活",3,,,,,
205,M02,M02U01,妊産婦の食生活で特に重要な栄養素はどれか？,鉄・カルシウム・葉酸,ナトリウム・脂質・水,ビタミンC・食物繊維・糖,たんぱく質・水・塩分,1,妊娠・授乳期は胎児や母体の発育のために鉄・カルシウム・葉酸の摂取が重要となる。,"妊産婦,鉄,葉酸",2,,,,,
206,M02,M02U01,妊産婦の食生活指針に関する内容として正しいのはどれか？,バランスのよい食事を心がける,糖質を完全に抜く,体重増加を避けるために断食する,サプリメントだけに頼る,1,妊産婦はバランスのとれた食事を基本に、無理なダイエットを避けることが重要である。,"妊産婦,食生活指針,栄養",2,,,,,
207,M02,M02U01,健康的な食生活を支援する社会的な仕組みはどれか？,スマートミール認証制度,定期券割引制度,教育費助成制度,省エネポイント制度,1,スマートミール認証制度は栄養バランスに配慮した食事提供を行う事業所を認証する制度である。,"スマートミール,社会制度,健康支援",2,,,,,
208,M02,M02U01,食生活の変化が進んだ結果として増加した疾患はどれか？,糖尿病や高血圧,結核,栄養失調,感染症,1,食の欧米化によって脂質・塩分の摂取が増え、糖尿病や高血圧などが増加した。,"食生活,糖尿病,高血圧",1,,,,,
209,M02,M02U01,栄養バランスが整った食事をとる意義として正しいのはどれか？,体の機能を正常に保つ,短期間で痩せる,食費を減らす,病気を完全に防ぐ,1,栄養バランスのよい食事は、体の機能を保ち、健康の維持・増進に役立つ。,"栄養バランス,健康維持,機能維持",1,,,,,
210,M02,M02U01,「食事と健康」の学習を通して身につけたい力として最も適切なのはどれか？,自分に合った食生活を考え実践する力,他人の食事を批判する力,食品の値段を覚える力,外食を減らす力,1,学習の目的は、自分に合った健康的な食生活を主体的に考え実践できる力を養うことである。,"食生活,実践力,健康教育",3,,,,,