id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_pharmaceutical_system_and_use
1291,M08,M08U03,医薬品とはどのようなものか？,病気の予防や治療に使われる物質,食品として摂取するもの,体の外をきれいにするためのもの,体を鍛えるための補助食品,1,医薬品は病気の予防・診断・治療を目的として人体に使用される物質である。,"定義,薬,治療",1,,,,,
1292,M08,M08U03,医薬品はどのような基準で販売方法が決められているか？,使用上のリスクに応じて分類されている,価格の高低によって決まっている,製造国によって異なる,広告の有無によって変わる,1,医薬品は副作用などのリスクに応じて処方薬や一般用医薬品などに分けられている。,"分類,販売制度,リスク",1,,,,,
1293,M08,M08U03,医師の処方せんが必要な医薬品はどれか？,医療用医薬品,要指導医薬品,第1類医薬品,第3類医薬品,1,医療用医薬品は医師や歯科医師の処方せんに基づいてのみ販売される。,"医療用医薬品,処方,販売制度",1,,,,,
1294,M08,M08U03,一般用医薬品はどのように購入できるか？,薬剤師や登録販売者から説明を受けて購入できる,自由にスーパーで購入できる,医師の診断が必要である,薬局では販売されていない,1,一般用医薬品は薬剤師や登録販売者の説明を受けて購入することができる。,"一般用医薬品,販売方法,薬局",1,,,,,
1295,M08,M08U03,要指導医薬品の特徴として正しいものはどれか？,薬剤師の対面販売が義務づけられている,誰でも自由に購入できる,副作用の心配が全くない,ネット販売が義務づけられている,1,要指導医薬品は安全性上の注意が必要なため、薬剤師の対面での説明販売が必要である。,"要指導医薬品,安全性,販売制度",2,,,,,
1296,M08,M08U03,医薬品の正しい使用において重要なことはどれか？,用法・用量を守ること,自分の判断で量を増やすこと,症状が軽くても服用をやめないこと,眠気が出ても飲み続けること,1,医薬品は決められた用法・用量を守って使用することが安全な効果につながる。,"使用方法,安全,基本",1,,,,,
1297,M08,M08U03,服用のタイミングとして最も適切なのはどれか？,指示された時間に服用する,気が向いたときに服用する,食後30分以内ならいつでもよい,朝と夜を入れ替えても問題ない,1,服用時刻は体内の薬の濃度を一定に保つため、医師や薬剤師の指示に従うことが重要である。,"服用,時間,管理",2,,,,,
1298,M08,M08U03,薬の保管で注意すべき点はどれか？,直射日光や湿気を避ける,冷凍庫に保管する,台所や浴室に置く,別の容器に移し替える,1,薬は直射日光や湿気を避け、子どもの手の届かない場所に保管する必要がある。,"保管,安全管理,注意点",2,,,,,
1299,M08,M08U03,副作用とはどのような現象か？,薬の目的以外の作用によって体に悪影響が出ること,薬が効かないこと,薬の味が苦いこと,薬が高価であること,1,副作用とは薬の本来の目的以外の作用によって体に望ましくない影響が出ることである。,"副作用,安全性,リスク",1,,,,,
1300,M08,M08U03,副作用の情報を集め安全性を確保するための仕組みはどれか？,医薬品副作用被害救済制度,薬害救済基金,国民健康保険制度,医薬品割引制度,1,副作用の報告を基に安全対策を行うため、PMDAが中心となって救済制度が運用されている。,"副作用,制度,安全対策",2,,,,,
1301,M08,M08U03,医薬品の「リスク区分」で最も注意が必要なのはどれか？,第1類医薬品,第2類医薬品,第3類医薬品,要指導医薬品,1,第1類医薬品は副作用などのリスクが比較的高く、薬剤師による説明が義務づけられている。,"リスク区分,一般用医薬品,薬剤師",2,,,,,
1302,M08,M08U03,一般用医薬品の販売に関わる専門職はどれか？,薬剤師と登録販売者,医師と看護師,理学療法士と作業療法士,臨床検査技師と放射線技師,1,一般用医薬品は薬剤師または登録販売者が販売に関与し、説明責任を負う。,"販売者,薬剤師,登録販売者",2,,,,,
1303,M08,M08U03,ジェネリック医薬品の特徴として正しいものはどれか？,有効成分が先発医薬品と同じで価格が安い,まったく新しい成分を使っている,特許が切れる前に販売される,副作用の確認が行われていない,1,ジェネリック医薬品は先発医薬品と同じ有効成分を用い、安価で同等の効果がある。,"ジェネリック,価格,有効成分",2,,,,,
1304,M08,M08U03,副作用被害救済制度の対象となるのはどのような場合か？,適正に使用したにもかかわらず副作用が出た場合,誤って大量に服用した場合,他人の薬を使った場合,医師の指示を無視した場合,1,正しく使用しても重い副作用が生じた場合には救済制度の対象となる。,"副作用,救済制度,安全対策",2,,,,,
1305,M08,M08U03,医薬品の副作用情報を収集・評価する機関はどれか？,医薬品医療機器総合機構（PMDA）,厚生労働省保険局,日本薬剤師会,日本製薬団体連合会,1,PMDAは医薬品の副作用情報を収集・評価し、安全対策に活用している。,"PMDA,副作用,情報管理",2,,,,,
1306,M08,M08U03,医薬品の「製造販売承認」を行うのはどの機関か？,厚生労働省,文部科学省,経済産業省,内閣府,1,医薬品の有効性・安全性・品質が確認された上で、厚生労働省が承認を行う。,"承認,厚生労働省,制度",2,,,,,
1307,M08,M08U03,医薬品の開発段階で行われる「臨床試験」は何を目的としているか？,安全性や有効性を確認すること,製造コストを下げること,薬の味を改善すること,広告効果を調べること,1,臨床試験は人を対象に安全性・有効性・副作用などを科学的に検証するために行われる。,"臨床試験,安全性,有効性",3,,,,,
1308,M08,M08U03,医薬品の使用に関する「リスク・ベネフィット」とは何を指すか？,効果と副作用のバランスを考えること,価格と売上の関係を示すこと,薬剤師の勤務時間のこと,広告効果のこと,1,リスク・ベネフィットとは薬の効果と副作用のバランスを比較して使用の可否を判断する考え方である。,"リスク,ベネフィット,判断",3,,,,,
1309,M08,M08U03,医薬品の副作用を防ぐために必要な行動はどれか？,医師や薬剤師に相談してから使用する,他人の薬を参考にする,効き目を早めるために量を増やす,長期間保管して再利用する,1,医薬品を使用する際は、自己判断せず専門家に相談することが安全の基本である。,"安全対策,相談,副作用",1,,,,,
1310,M08,M08U03,「お薬手帳」の主な目的はどれか？,服用している薬の情報を共有すること,購入履歴を記録して割引を受けること,広告を受け取るためのもの,薬の効果を競うための記録,1,お薬手帳は処方内容や服薬状況を共有し、重複投与や副作用を防ぐ目的で使われる。,"お薬手帳,情報共有,安全管理",1,,,,,
1311,M08,M08U03,薬害スモン事件の原因となった薬剤はどれか？,キノホルム,サリドマイド,クロロキン,エイズ治療薬,1,薬害スモン事件は整腸剤キノホルムの副作用によって発生した。,"薬害,スモン,副作用",3,,,,,
1312,M08,M08U03,医薬品の適正使用を進めるために重要なことはどれか？,医療関係者と利用者の協力,自己判断による服用,薬を早く効かせる工夫,余った薬の譲渡,1,安全で効果的に使用するためには、医師・薬剤師・利用者が連携することが重要である。,"適正使用,連携,医療",2,,,,,
1313,M08,M08U03,薬の誤使用で特に注意が必要なのはどれか？,小児や高齢者,成人男性,健康な若者,スポーツ選手,1,小児や高齢者は体の反応が異なるため、薬の誤使用による影響が大きい。,"誤使用,小児,高齢者",2,,,,,
1314,M08,M08U03,薬の有効成分が体内で働くまでの流れとして正しいのはどれか？,吸収→分布→代謝→排泄,分布→吸収→排泄→代謝,代謝→吸収→分布→排泄,吸収→代謝→排泄→分布,1,薬は体内で吸収され、血流を通じて分布し、代謝・排泄の過程を経て作用が終わる。,"薬理,体内過程,作用機序",3,,,,,
1315,M08,M08U03,医薬品の安全対策における「情報公開」の目的はどれか？,透明性の確保と信頼性の向上,製薬会社の利益拡大,薬価の上昇抑制,広告効果の強化,1,副作用や臨床試験結果の情報を公開することで、社会的信頼と透明性を確保することが目的である。,"情報公開,安全対策,信頼性",3,,,,,
1316,M08,M08U03,医薬品の正しい廃棄方法として適切なのはどれか？,薬局などの回収窓口に持参する,流しやトイレに捨てる,燃えるゴミに出す,庭に埋める,1,不用になった医薬品は環境汚染を防ぐため、薬局などの回収窓口で適切に処分する。,"廃棄,環境,安全管理",2,,,,,
1317,M08,M08U03,薬害エイズ事件の主な原因はどれか？,安全性が確認されていない血液製剤の使用,薬剤師の説明不足,医療機関の経営問題,偽薬の流通,1,薬害エイズ事件は加熱処理されていない血液製剤が使用されたことが原因で発生した。,"薬害,エイズ,安全対策",3,,,,,
1318,M08,M08U03,医薬品の適正使用を支援する「薬剤情報提供書」には何が記載されているか？,薬の名前・効能・使用上の注意,購入金額,広告内容,患者の住所,1,薬剤情報提供書は処方された薬の情報や注意点をまとめた文書である。,"薬剤情報,適正使用,説明",2,,,,,
1319,M08,M08U03,薬の「作用」と「副作用」の関係を説明したものはどれか？,同じ成分でも目的外の作用が出ることがある,別々の薬でしか起こらない,作用が強いほど副作用は必ずない,副作用は偶然に発生する,1,薬の成分は目的の作用以外にも体に影響を与えることがあり、それが副作用と呼ばれる。,"作用,副作用,薬理",2,,,,,
1320,M08,M08U03,医薬品を正しく使うために最も基本的な心構えはどれか？,自分の体と薬の関係を理解し責任を持つこと,効果が弱いときは量を増やすこと,周囲の人の薬を真似すること,症状が治ったら途中でやめること,1,医薬品を安全に使うためには、自分の体調や薬の性質を理解し、自己管理する意識が大切である。,"心構え,責任,自己管理",1,,,,,