id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_pregnancy_childbirth_and_health
841,M05,M05U04,受精とはどのような現象か？,卵子と精子が結合すること,胎児が成長すること,出産のこと,月経が起こること,1,受精は卵子と精子が出会い結合して新しい生命が始まる現象である。,"受精,生命の始まり,生殖",1,,,,,
842,M05,M05U04,妊娠の成立に必要な条件として正しいのはどれか？,排卵と受精が正常に行われること,出産後の回復が早いこと,月経周期が一定であること,母乳が出ること,1,妊娠は排卵された卵子が受精し、子宮内膜に着床することで成立する。,"妊娠,着床,条件",1,,,,,
843,M05,M05U04,妊娠期間は通常どのくらいか？,約280日（40週）,約180日（26週）,約200日（30週）,約300日（43週）,1,妊娠期間は最終月経の初日から約280日（40週）とされる。,"妊娠期間,出産,日数",1,,,,,
844,M05,M05U04,妊娠初期に見られる体の変化として正しいのはどれか？,つわりが起こる,胎動を感じる,出産が始まる,母乳が出る,1,妊娠初期はホルモン変化により吐き気や眠気などのつわりが起こる。,"妊娠初期,体の変化,ホルモン",1,,,,,
845,M05,M05U04,出産の流れで「陣痛」が起こるのはどの段階か？,分娩第1期,分娩第2期,分娩第3期,産褥期,1,分娩第1期は子宮口が広がり始め、陣痛が規則的に起こる時期である。,"出産,陣痛,分娩過程",1,,,,,
846,M05,M05U04,出産の第2期に起こることはどれか？,胎児が母体から出てくる,陣痛が始まる,胎盤が排出される,母乳分泌が始まる,1,分娩第2期は子宮口が全開し、胎児が母体から出てくる時期である。,"出産,分娩第2期,胎児誕生",1,,,,,
847,M05,M05U04,出産後6〜8週間の母体の回復期間を何というか？,産褥期,成熟期,排卵期,授乳期,1,産褥期は出産後の母体が元の状態に戻るまでの回復期間である。,"産褥期,母体回復,出産後",1,,,,,
848,M05,M05U04,母子保健サービスの目的として正しいのはどれか？,妊娠・出産・育児の健康を支援する,高齢者の介護を支援する,成人病を予防する,感染症を根絶する,1,母子保健サービスは母親と子どもの健康を守ることを目的とする。,"母子保健,健康支援,行政サービス",1,,,,,
849,M05,M05U04,母子健康手帳はいつ交付されるか？,妊娠が確認されたとき,出産直後,乳児健診のとき,授乳が始まるとき,1,妊娠が確認されると医師の証明を受けて母子健康手帳が交付される。,"母子健康手帳,交付,妊娠確認",1,,,,,
850,M05,M05U04,妊娠中の健康管理で特に大切なのはどれか？,栄養バランスと定期的な健診,激しい運動,体重を急に減らすこと,長時間の入浴,1,妊娠中は栄養管理と定期的な健康診査が母子の健康維持に重要である。,"健康管理,栄養,妊婦健診",1,,,,,
851,M05,M05U04,妊娠中に摂取を控えるべきものはどれか？,アルコール,カルシウム,鉄分,葉酸,1,アルコールは胎児に悪影響を及ぼすため妊娠中は摂取を控える必要がある。,"妊娠中,アルコール,胎児影響",1,,,,,
852,M05,M05U04,妊娠中に必要な栄養素として特に重要なのはどれか？,葉酸,ビタミンC,ナトリウム,脂質,1,葉酸は胎児の神経管形成に関わる重要な栄養素である。,"妊娠中,栄養,葉酸",1,,,,,
853,M05,M05U04,出産時に胎児が母体から出てくるための子宮の収縮を何というか？,陣痛,排卵,月経,排便,1,陣痛は胎児を体外に押し出すために起こる子宮の周期的な収縮である。,"出産,陣痛,子宮収縮",1,,,,,
854,M05,M05U04,妊娠後期に注意が必要な症状はどれか？,妊娠高血圧症候群,風邪,アレルギー性鼻炎,近視の進行,1,妊娠高血圧症候群は母体と胎児に危険を及ぼすため注意が必要である。,"妊娠後期,合併症,妊娠高血圧",1,,,,,
855,M05,M05U04,妊娠中の体重増加の目安として正しいのはどれか？,BMIによって異なる,10kg以上増やす,増やさない方がよい,毎週1kg増やす,1,妊娠中の適正な体重増加量はBMIに応じて個別に設定される。,"妊娠中,体重管理,BMI",2,,,,,
856,M05,M05U04,妊娠初期の母体が注意すべき感染症はどれか？,風しん,水虫,花粉症,胃腸炎,1,風しんウイルス感染は胎児に先天異常を起こす可能性があるため注意が必要。,"感染症,妊娠初期,風しん",2,,,,,
857,M05,M05U04,出産時に胎児と一緒に排出されるものはどれか？,胎盤,卵巣,膀胱,胆のう,1,出産時は胎児のあとに胎盤が排出される（分娩第3期）。,"出産,胎盤,分娩過程",1,,,,,
858,M05,M05U04,マタニティマークの目的として正しいのはどれか？,妊婦への配慮を促す,母子手帳の代わりになる,医療費が無料になる,胎児の性別を示す,1,マタニティマークは妊婦への理解と配慮を社会に促す目的で作られた。,"マタニティマーク,社会的支援,妊婦",2,,,,,
859,M05,M05U04,妊娠・出産の経過を一貫して管理する仕組みはどれか？,母子健康手帳,健康保険証,診察券,パスポート,1,母子健康手帳は妊娠から出産・育児までの健康情報を記録・管理する。,"母子健康手帳,健康管理,記録",1,,,,,
860,M05,M05U04,「健やか親子21（第2次）」の主な目標はどれか？,すべての子どもが健やかに育つ社会の実現,医療費削減,出生率の低下,高齢者の健康増進,1,健やか親子21はすべての子どもと家庭の健康支援を目的とした国の施策である。,"健やか親子21,母子保健,政策",2,,,,,
861,M05,M05U04,母子保健サービスの一つでないものはどれか？,高齢者健康相談,妊婦健診,乳幼児健診,母親学級,1,母子保健サービスは妊産婦と乳幼児の健康を支援する事業である。,"母子保健,サービス,対象",2,,,,,
862,M05,M05U04,「母子保健法」に基づく市町村の役割として正しいのはどれか？,妊婦健診費用の助成,医療機器の販売,養護学校の運営,薬局の監督,1,母子保健法により市町村は妊婦健診の費用助成などを実施する。,"母子保健法,行政,妊婦健診",2,,,,,
863,M05,M05U04,妊娠中の母体が適度な運動を行う目的はどれか？,体力維持とストレス軽減,体重減少,出産を早める,筋肉増強,1,軽い運動は血行を促進し出産への準備やストレス軽減に役立つ。,"妊娠中,運動,健康維持",2,,,,,
864,M05,M05U04,妊娠初期に薬を服用する際の注意として正しいのはどれか？,医師の指示に従う,自己判断で中止する,なるべく多く服用する,市販薬を優先する,1,妊娠初期は薬剤の影響を受けやすく、必ず医師の指示を守ることが重要である。,"薬,妊娠初期,安全",1,,,,,
865,M05,M05U04,母子保健サービスの利用で最も大切な姿勢はどれか？,自ら情報を得て積極的に活用する,すべて医師に任せる,使わないようにする,家族だけで対応する,1,母子保健サービスは利用者自身が情報を得て主体的に活用することが望ましい。,"母子保健,自己活用,主体性",2,,,,,
866,M05,M05U04,胎児の成長が始まる場所として正しいのはどれか？,子宮内膜,卵巣,卵管,膣,1,受精卵は子宮内膜に着床して胎児として成長を始める。,"胎児,着床,子宮内膜",1,,,,,
867,M05,M05U04,出産後の母乳分泌を促すホルモンはどれか？,プロラクチン,アドレナリン,インスリン,セロトニン,1,プロラクチンは出産後に母乳分泌を促す働きを持つ。,"ホルモン,母乳,出産後",2,,,,,
868,M05,M05U04,「胎盤」の主な役割として正しいのはどれか？,母体と胎児の間で栄養や酸素を交換する,胎児を保護する皮膚になる,母乳を作る,出産を促す,1,胎盤は母体と胎児の間で栄養や酸素・老廃物の交換を行う器官である。,"胎盤,栄養交換,母体胎児",1,,,,,
869,M05,M05U04,出産時に「破水」が起こるのはどの段階か？,陣痛の開始前後,分娩第3期,産褥期,出産後1週間,1,破水は分娩が近づいた際に羊膜が破れて羊水が流出する現象である。,"出産,破水,分娩過程",2,,,,,
870,M05,M05U04,母子保健の基本的な理念として最も適切なのはどれか？,母と子の健康を社会全体で支える,個人の責任に任せる,母親だけが対応する,経済優先で考える,1,母子保健は母と子の健康を社会全体で支えることを理念としている。,"母子保健,理念,社会的支援",1,,,,,