id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_safe_society_development
601,M04,M04U02,安全な社会の形成の目的として最も適切なのはどれか？,すべての人が安全に生活できる社会をつくること,行政の効率を高めること,経済成長を促進すること,新しい法律を制定すること,1,安全な社会の形成は個人の安全を守るだけでなく、すべての人が安心して暮らせる社会をつくることを目的とする。,"目的,社会,安全",1,,,,,
602,M04,M04U02,個人の安全を確保するために重要な行動はどれか？,危険を予測し回避する行動,他人に任せる行動,偶然に頼る行動,危険を過小評価する行動,1,危険を予測し避けることで、被害を最小限にすることができる。,"個人行動,危険予測,安全確保",1,,,,,
603,M04,M04U02,災害時にとるべき基本的な行動として正しいのはどれか？,落ち着いて避難経路を確認する,パニックになって走り出す,荷物を取りに戻る,他人の指示を待つだけにする,1,冷静に状況を判断し、安全な避難経路を確認して行動することが重要である。,"災害,避難,冷静行動",1,,,,,
604,M04,M04U02,「自助」「共助」「公助」のうち、まず優先して行うべきなのはどれか？,自助,共助,公助,どれも同時,1,まず自分の身を守る自助が基本であり、その後に周囲への共助、公的支援の公助が続く。,"自助,共助,公助",1,,,,,
605,M04,M04U02,共助の具体的な例として最も適切なのはどれか？,地域での避難誘導,自分だけ避難する,SNSに情報を書き込む,救助隊に任せる,1,共助は地域や周囲の人と協力して安全を確保する行動を指す。,"共助,地域,協力",1,,,,,
606,M04,M04U02,公助の中心的な役割を担うのはどれか？,行政,個人,企業,学校,1,公助は行政が行う支援や対策を指し、災害時の救助活動などが含まれる。,"公助,行政,支援",1,,,,,
607,M04,M04U02,「正常性バイアス」とはどのような現象か？,危険を過小評価して普段どおりに行動してしまうこと,危険を過大評価して逃げすぎること,他人の意見を無条件に信じること,災害情報を無視すること,1,正常性バイアスとは、異常な状況でも「自分は大丈夫」と考えてしまう心理的傾向を指す。,"心理,リスク認知,災害行動",2,,,,,
608,M04,M04U02,ハインリッヒの法則が示す内容として正しいのはどれか？,1件の重大事故の背後には多くの軽微な事故やヒヤリハットがある,事故は偶然に起こるもので予防できない,大事故の前触れは存在しない,危険行動を禁止すれば事故はなくなる,1,ハインリッヒの法則は「1件の重大事故の背後に29件の軽傷事故、300件のヒヤリハットがある」とする安全理論である。,"安全理論,ヒヤリハット,予防",2,,,,,
609,M04,M04U02,災害リスクを表す式として正しいのはどれか？,リスク＝ハザード×脆弱性,リスク＝対策−脆弱性,リスク＝安全＋経験,リスク＝被害÷避難,1,リスクは「ハザード（危険の要因）」と「脆弱性（影響を受けやすさ）」の積で表される。,"リスク,ハザード,脆弱性",2,,,,,
610,M04,M04U02,「ハザードマップ」の目的として正しいのはどれか？,災害の危険区域や避難場所を事前に知ること,観光地を紹介すること,歴史的建造物を記録すること,人口分布を調べること,1,ハザードマップは災害時に危険な地域や避難場所を示す地図で、防災行動に役立つ。,"ハザードマップ,防災,地域安全",2,,,,,
611,M04,M04U02,地震発生時にまず行うべき行動はどれか？,身の安全を確保する,外にすぐ飛び出す,荷物をまとめる,SNSで情報を発信する,1,まず机の下などに身を隠し、頭部を守って身の安全を確保することが最優先である。,"地震,初動行動,安全確保",1,,,,,
612,M04,M04U02,避難情報の「避難指示」はどのレベルにあたるか？,レベル4,レベル2,レベル3,レベル5,1,避難指示は警戒レベル4で発令され、危険な場所から速やかに避難する必要がある。,"避難情報,警戒レベル,災害対応",1,,,,,
613,M04,M04U02,警戒レベル5の行動として最も適切なのはどれか？,命を守る最善の行動をとる,避難所を探す,テレビで情報を確認する,家にとどまる,1,警戒レベル5はすでに災害が発生している状況で、命を守る最善の行動を取ることが求められる。,"警戒レベル,災害,命を守る",1,,,,,
614,M04,M04U02,行政による災害対策の例として正しいのはどれか？,防災訓練の実施,個人の非常食準備,地域のSNS活用,友人との連絡,1,行政は防災訓練や防災計画の整備を通じて、公助としての安全対策を行う。,"行政,防災訓練,公助",2,,,,,
615,M04,M04U02,地域の防災活動の目的として最も適切なのはどれか？,住民一人ひとりが協力して安全を守ること,行政の仕事を代行すること,他地域より優れた避難所をつくること,企業の支援を求めること,1,地域の防災活動は住民同士の共助を高め、災害時に助け合うために行われる。,"地域防災,共助,安全意識",1,,,,,
616,M04,M04U02,避難所の設置目的として正しいのはどれか？,被災者が一時的に安全に生活できる場所を確保する,食料を販売する,災害報道を行う,災害の原因を調べる,1,避難所は災害で家を失った人などが安全に避難し生活できる場所である。,"避難所,被災者支援,防災",1,,,,,
617,M04,M04U02,障害のある人や高齢者などへの支援を示すカードはどれか？,ヘルプカード,マイナンバーカード,健康保険証,パスポート,1,ヘルプカードは災害時などに援助や配慮を必要とする人が提示して支援を受けやすくするためのものである。,"支援,ヘルプカード,災害弱者",1,,,,,
618,M04,M04U02,災害時における「情報の活用」で重要なのはどれか？,正確な情報を見極める,SNSでの噂を拡散する,一人の意見に従う,過去の情報のみを信じる,1,災害時は誤情報が多いため、行政や信頼できる機関の情報を確認することが重要である。,"情報活用,防災,判断力",2,,,,,
619,M04,M04U02,「リスク・ハザード・災害」のうち、ハザードの意味として正しいのはどれか？,危険のもととなる自然現象や要因,被害を受ける人の脆弱性,被害の結果,安全な状態,1,ハザードは地震・津波・豪雨など危険をもたらす現象や要因を指す。,"ハザード,リスク,自然災害",2,,,,,
620,M04,M04U02,防災教育の目的として最も適切なのはどれか？,自ら考え行動できる力を育てること,行政任せにする意識を育てること,災害の映像を見て感想を書くこと,避難訓練の回数を増やすこと,1,防災教育は災害に対して自ら考え判断し行動できる力を養うことを目的とする。,"防災教育,判断力,行動力",2,,,,,
621,M04,M04U02,「災害リスクマネジメント」に含まれる考え方として正しいのはどれか？,危険を予測し、被害を最小限にする行動を計画する,危険を感じたらすぐ逃げるだけでよい,全てを行政に任せる,被害が起きてから対策する,1,災害リスクマネジメントはリスクを事前に分析し、被害を最小限に抑える仕組みづくりを指す。,"リスクマネジメント,防災計画,予防",2,,,,,
622,M04,M04U02,「防災・減災」の違いとして正しいのはどれか？,防災は被害を防ぐ、減災は被害を軽減する,防災は避難、減災は復旧,防災は国の仕事、減災は個人の仕事,防災と減災は同じ意味,1,防災は被害を防ぐための行動、減災は被害を少なくするための取り組みを指す。,"防災,減災,安全対策",2,,,,,
623,M04,M04U02,地震の揺れを減らす建築の工夫として正しいのはどれか？,免震構造や制震装置の導入,建物を高くする,窓を大きくする,壁を薄くする,1,免震構造や制震装置は地震の揺れを吸収・軽減して被害を減らす技術である。,"建築,免震構造,耐震",2,,,,,
624,M04,M04U02,「指定避難所」とは何を目的とした施設か？,災害発生時に安全に避難できる場所,地域イベントを行う施設,防犯カメラを設置する施設,交通量を観察する施設,1,指定避難所は災害発生時に避難者を受け入れる安全な施設である。,"避難所,防災施設,災害対応",2,,,,,
625,M04,M04U02,「災害弱者」とはどのような人を指すか？,災害時に特別な支援を必要とする人,防災訓練に参加しない人,危険を好む人,防災意識が高い人,1,災害弱者とは高齢者や障害者など、災害時に自力で避難が難しい人を指す。,"災害弱者,支援,共助",2,,,,,
626,M04,M04U02,地域防災力を高めるために必要なことはどれか？,日頃から地域の人とつながりを持つこと,非常食を個人で買いだめすること,避難所に行かないようにすること,防災情報を無視すること,1,地域のつながりが災害時の共助を支えるため、防災力を高める基盤となる。,"地域防災,共助,つながり",2,,,,,
627,M04,M04U02,「BCP（事業継続計画）」の目的として正しいのはどれか？,災害後も事業を継続・早期再開できるようにする,利益を最大化する,新しい事業を始める,避難訓練を増やす,1,BCPは企業などが災害時に業務を止めず早期に再開できるよう準備する計画である。,"BCP,災害対策,事業継続",3,,,,,
628,M04,M04U02,学校における防災教育で特に重視すべき点はどれか？,自分で判断して行動する力を育てる,避難訓練を形だけ行う,先生の指示を待つだけにする,避難経路を暗記するだけにする,1,学校防災教育では主体的に考え行動する力を育むことが重視される。,"学校,防災教育,行動力",3,,,,,
629,M04,M04U02,災害からの教訓を社会に活かすために重要なことはどれか？,記録し伝承すること,忘れること,個人の体験だけにとどめること,他国の事例を無視すること,1,過去の災害の教訓を記録し伝えることで、将来の防災・減災に役立てることができる。,"教訓,防災文化,記録",3,,,,,
630,M04,M04U02,安全な社会を築くために一人ひとりができることはどれか？,日頃から危険を意識し防災行動を習慣化する,危険を他人に任せる,防災は行政の責任と考える,災害を恐れず無視する,1,安全な社会は一人ひとりの意識と行動の積み重ねによって実現される。,"防災意識,行動習慣,社会参加",3,,,,,