id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_smoking_and_health
241,M02,M02U03,喫煙によって最も直接的に影響を受ける器官はどれか？,肺,腎臓,胃,脳,1,喫煙により肺がんや慢性閉塞性肺疾患（COPD）など呼吸器系への影響が大きい。,"喫煙,呼吸器,影響",1,,,,,
242,M02,M02U03,たばこの煙に含まれる有害物質のうち発がん性があるものはどれか？,タール,一酸化炭素,ニコチン,アンモニア,1,タールは発がん性物質を多く含み、喫煙によるがんの主な原因となる。,"タール,発がん性,有害物質",1,,,,,
243,M02,M02U03,一酸化炭素が体に与える影響として正しいものはどれか？,血液の酸素運搬能力を低下させる,血圧を急激に上昇させる,神経伝達を抑制する,食欲を減退させる,1,一酸化炭素は血中ヘモグロビンと結合し、酸素運搬能力を低下させる。,"一酸化炭素,酸素欠乏,循環器",1,,,,,
244,M02,M02U03,ニコチンの作用として最も適切なものはどれか？,神経を刺激して依存を生じさせる,血糖値を急低下させる,肝機能を低下させる,免疫を強化する,1,ニコチンは脳内で快感をもたらし依存を形成する。,"ニコチン,依存性,神経",1,,,,,
245,M02,M02U03,受動喫煙によって起こる健康影響として誤っているものはどれか？,乳幼児突然死症候群の増加,心筋梗塞のリスク上昇,感染症の予防,肺がんのリスク上昇,3,受動喫煙は感染症の予防にはならず、むしろ多くの疾患リスクを高める。,"受動喫煙,健康被害,家庭",1,,,,,
246,M02,M02U03,喫煙者の1日の喫煙本数と肺がん死亡率の関係として正しいものはどれか？,本数が増えるほど死亡率が高い,喫煙本数に関係なく一定,少ないほど死亡率が高い,関係はない,1,肺がん死亡率は喫煙本数に比例して上昇することが知られている。,"喫煙本数,肺がん,統計",1,,,,,
247,M02,M02U03,喫煙をやめにくくする心理的要因として適切なものはどれか？,ストレス解消の手段と認識している,嗜好がない,医学的知識が豊富である,禁煙治療を受けている,1,喫煙をストレス解消と誤認することでやめにくくなる心理的依存が生じる。,"心理的依存,ストレス,禁煙",2,,,,,
248,M02,M02U03,日本での禁煙対策に関する法律で正しいものはどれか？,健康増進法,たばこ税法,医療安全法,薬事法,1,健康増進法により公共の場での受動喫煙防止措置が定められている。,"健康増進法,受動喫煙,政策",2,,,,,
249,M02,M02U03,世界的なたばこ対策の枠組みとして正しいものはどれか？,WHOたばこ規制枠組条約(FCTC),COPD対策国際条約,CVD防止条約,国際がん予防協定,1,FCTCは各国にたばこ対策の実施を促す国際的な条約である。,"FCTC,WHO,国際協定",2,,,,,
250,M02,M02U03,加熱式たばこの特徴として正しいものはどれか？,煙は少ないが有害物質は含まれる,有害物質は完全に除去されている,燃焼しないため健康に無害,依存性がない,1,加熱式たばこは煙が少ないが有害物質を含み依存性も残る。,"加熱式たばこ,依存,有害物質",3,,,,,
251,M02,M02U03,喫煙が循環器系に与える主な影響はどれか？,動脈硬化を促進する,血液の粘度を下げる,血圧を下げる,心拍数を減少させる,1,喫煙は血管を収縮させ動脈硬化や高血圧を促進する。,"循環器,動脈硬化,高血圧",1,,,,,
252,M02,M02U03,女性の喫煙による影響として正しいものはどれか？,胎児の発育に悪影響を及ぼす,月経周期を安定させる,骨密度を高める,皮膚の老化を防ぐ,1,妊娠中の喫煙は低出生体重児や流産の危険を高める。,"女性,妊娠,胎児",1,,,,,
253,M02,M02U03,喫煙ががんの発生に関与する理由として最も適切なのはどれか？,発がん性物質が細胞のDNAを損傷する,免疫機能を強化する,ウイルス感染を防ぐ,酸素供給を高める,1,タールなどに含まれる発がん性物質が細胞のDNAを損傷し、がんを誘発する。,"発がん,タール,DNA損傷",1,,,,,
254,M02,M02U03,ニコチン依存症の特徴として誤っているものはどれか？,離脱症状がみられる,自分の意思で容易にやめられる,再喫煙しやすい,習慣化しやすい,2,ニコチン依存症は自力でやめるのが難しく、再喫煙しやすい。,"ニコチン,依存症,習慣",1,,,,,
255,M02,M02U03,禁煙外来で使用される治療法として正しいものはどれか？,ニコチン置換療法,紫外線照射療法,ホルモン補充療法,ビタミン投与療法,1,ニコチンガムやパッチで離脱症状を軽減する方法が用いられる。,"禁煙外来,治療法,ニコチン置換",2,,,,,
256,M02,M02U03,たばこの広告規制の目的として最も適切なものはどれか？,若年者の喫煙開始を防ぐ,たばこ販売の促進,企業収益の確保,嗜好の自由の強調,1,広告によるイメージ戦略が若者の喫煙につながるのを防ぐ目的がある。,"広告規制,若年者,予防",2,,,,,
257,M02,M02U03,日本の喫煙率に関する特徴として正しいものはどれか？,男性の喫煙率が女性より高い,女性の喫煙率が男性より高い,年齢が上がるほど喫煙率が下がる,全年齢で横ばいである,1,日本では男性の喫煙率が高く、減少傾向にある。,"喫煙率,統計,日本",2,,,,,
258,M02,M02U03,受動喫煙の主な発生場所として正しいものはどれか？,家庭や飲食店などの室内,屋外の公園,海岸,登山道,1,家庭内や飲食店など屋内での受動喫煙が問題となる。,"受動喫煙,家庭,屋内",2,,,,,
259,M02,M02U03,WHOが提唱する「健康のためのたばこ規制枠組条約（FCTC）」の主な内容はどれか？,たばこの広告・販売・喫煙場所の規制,たばこの品質管理の推奨,喫煙年齢の引き下げ,禁煙治療の強制化,1,FCTCは世界的に喫煙の抑制を進めるための国際的な取り組みである。,"WHO,FCTC,国際政策",2,,,,,
260,M02,M02U03,喫煙と関連する疾患のうち誤っているものはどれか？,COPD,肺がん,糖尿病,心筋梗塞,3,喫煙はCOPDやがん、心疾患と関連するが糖尿病との関連は弱い。,"疾患,COPD,心筋梗塞",1,,,,,
261,M02,M02U03,受動喫煙により特に影響を受けやすい人はどれか？,乳幼児や妊婦,成人男性,高齢者,スポーツ選手,1,乳幼児や妊婦は呼吸機能が弱く、受動喫煙の影響を受けやすい。,"受動喫煙,乳幼児,妊婦",1,,,,,
262,M02,M02U03,喫煙を開始する要因として誤っているものはどれか？,仲間の影響,メディアの影響,学業成績の向上,ストレス対処,3,喫煙開始は主に仲間や広告、ストレス対処などが要因である。,"喫煙開始,要因,心理",2,,,,,
263,M02,M02U03,たばこを吸い始めてから体に起こる変化のうち、最も早く現れるものはどれか？,脈拍と血圧の上昇,肺がん発症,動脈硬化,免疫低下,1,喫煙後すぐにニコチンの作用で脈拍と血圧が上がる。,"ニコチン,循環,即時反応",2,,,,,
264,M02,M02U03,喫煙をやめてから10年以上経過したときの変化として正しいものはどれか？,がんのリスクが非喫煙者に近づく,肺機能が完全に回復する,血中ニコチン濃度が上昇する,動脈硬化が進行する,1,長期間禁煙を続けるとがんのリスクは非喫煙者に近づく。,"禁煙,長期効果,健康改善",2,,,,,
265,M02,M02U03,加熱式たばこと紙巻きたばこの違いとして最も正しいものはどれか？,煙が少なくても有害物質は存在する,完全に安全である,依存性がない,値段が安い,1,加熱式たばこも有害物質を含み、健康への影響がある。,"加熱式,有害物質,比較",3,,,,,
266,M02,M02U03,禁煙補助薬の目的として正しいものはどれか？,離脱症状を軽減する,ニコチン摂取を増やす,代謝を促進する,ストレスを増加させる,1,禁煙補助薬は離脱症状を和らげて禁煙を助ける。,"禁煙補助薬,離脱症状,治療",2,,,,,
267,M02,M02U03,喫煙者が禁煙に失敗しやすい理由として最も適切なのはどれか？,ニコチン依存による強い欲求が残る,意思が弱いから,禁煙の知識がないから,周囲の支援があるから,1,禁煙失敗は意思よりもニコチン依存の強さによる。,"禁煙失敗,依存,心理",2,,,,,
268,M02,M02U03,禁煙成功率を高める要因として正しいものはどれか？,医療機関での支援を受ける,独力で行う,喫煙者仲間と集う,深夜に喫煙する,1,禁煙外来などの専門的支援を受けると成功率が高まる。,"禁煙支援,医療,成功率",2,,,,,
269,M02,M02U03,公共の場での喫煙を制限する目的はどれか？,受動喫煙の防止,たばこ税の増加,販売促進,広告規制,1,公共の禁煙は受動喫煙を防止する目的で実施されている。,"公共,受動喫煙,法規制",2,,,,,
270,M02,M02U03,喫煙対策における「社会的支援」の意義として正しいものはどれか？,禁煙の継続を助ける,依存を強める,たばこを安く買える,喫煙を推奨する,1,家族や友人などの支援により禁煙の継続が容易になる。,"社会的支援,禁煙,継続",3,,,,,